Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Nederbördsmängd,Kvalitet,Latitude,Longitude
1881-11-01 07:00:01,1881-12-01 07:00:00,1881-11,20,G,57.95481,19.2459
1881-12-01 07:00:01,1882-01-01 07:00:00,1881-12,21,G,57.95481,19.2459
1882-01-01 07:00:01,1882-02-01 07:00:00,1882-01,24,G,57.95481,19.2459
1882-02-01 07:00:01,1882-03-01 07:00:00,1882-02,11,G,57.95481,19.2459
1882-03-01 07:00:01,1882-04-01 07:00:00,1882-03,18,G,57.95481,19.2459
1882-04-01 07:00:01,1882-05-01 07:00:00,1882-04,20,G,57.95481,19.2459
1882-05-01 07:00:01,1882-06-01 07:00:00,1882-05,14,G,57.95481,19.2459
1882-06-01 07:00:01,1882-07-01 07:00:00,1882-06,15,G,57.95481,19.2459
1882-07-01 07:00:01,1882-08-01 07:00:00,1882-07,77,G,57.95481,19.2459
1882-08-01 07:00:01,1882-09-01 07:00:00,1882-08,44,G,57.95481,19.2459
1882-09-01 07:00:01,1882-10-01 07:00:00,1882-09,23,G,57.95481,19.2459
1882-10-01 07:00:01,1882-11-01 07:00:00,1882-10,32,G,57.95481,19.2459
1882-11-01 07:00:01,1882-12-01 07:00:00,1882-11,63,G,57.95481,19.2459
1882-12-01 07:00:01,1883-01-01 07:00:00,1882-12,22,G,57.95481,19.2459
1883-01-01 07:00:01,1883-02-01 07:00:00,1883-01,14,G,57.95481,19.2459
1883-02-01 07:00:01,1883-03-01 07:00:00,1883-02,9,G,57.95481,19.2459
1883-03-01 07:00:01,1883-04-01 07:00:00,1883-03,14,G,57.95481,19.2459
1883-04-01 07:00:01,1883-05-01 07:00:00,1883-04,3,G,57.95481,19.2459
1883-05-01 07:00:01,1883-06-01 07:00:00,1883-05,44,G,57.95481,19.2459
1883-06-01 07:00:01,1883-07-01 07:00:00,1883-06,67,G,57.95481,19.2459
1883-07-01 07:00:01,1883-08-01 07:00:00,1883-07,54,G,57.95481,19.2459
1883-08-01 07:00:01,1883-09-01 07:00:00,1883-08,56,G,57.95481,19.2459
1883-09-01 07:00:01,1883-10-01 07:00:00,1883-09,74,G,57.95481,19.2459
1883-10-01 07:00:01,1883-11-01 07:00:00,1883-10,51,G,57.95481,19.2459
1883-11-01 07:00:01,1883-12-01 07:00:00,1883-11,59,G,57.95481,19.2459
1883-12-01 07:00:01,1884-01-01 07:00:00,1883-12,44,G,57.95481,19.2459
1884-01-01 07:00:01,1884-02-01 07:00:00,1884-01,29,G,57.95481,19.2459
1884-02-01 07:00:01,1884-03-01 07:00:00,1884-02,33,G,57.95481,19.2459
1884-03-01 07:00:01,1884-04-01 07:00:00,1884-03,27,G,57.95481,19.2459
1884-04-01 07:00:01,1884-05-01 07:00:00,1884-04,11,G,57.95481,19.2459
1884-05-01 07:00:01,1884-06-01 07:00:00,1884-05,16,G,57.95481,19.2459
1884-06-01 07:00:01,1884-07-01 07:00:00,1884-06,59,G,57.95481,19.2459
1884-07-01 07:00:01,1884-08-01 07:00:00,1884-07,60,G,57.95481,19.2459
1884-08-01 07:00:01,1884-09-01 07:00:00,1884-08,31,G,57.95481,19.2459
1884-09-01 07:00:01,1884-10-01 07:00:00,1884-09,7,G,57.95481,19.2459
1884-10-01 07:00:01,1884-11-01 07:00:00,1884-10,75,G,57.95481,19.2459
1884-11-01 07:00:01,1884-12-01 07:00:00,1884-11,29,G,57.95481,19.2459
1884-12-01 07:00:01,1885-01-01 07:00:00,1884-12,40,G,57.95481,19.2459
1885-01-01 07:00:01,1885-02-01 07:00:00,1885-01,15,G,57.95481,19.2459
1885-02-01 07:00:01,1885-03-01 07:00:00,1885-02,20,G,57.95481,19.2459
1885-03-01 07:00:01,1885-04-01 07:00:00,1885-03,14,G,57.95481,19.2459
1885-04-01 07:00:01,1885-05-01 07:00:00,1885-04,43,G,57.95481,19.2459
1885-05-01 07:00:01,1885-06-01 07:00:00,1885-05,59,G,57.95481,19.2459
1885-06-01 07:00:01,1885-07-01 07:00:00,1885-06,4,G,57.95481,19.2459
1885-07-01 07:00:01,1885-08-01 07:00:00,1885-07,35,G,57.95481,19.2459
1885-08-01 07:00:01,1885-09-01 07:00:00,1885-08,96,G,57.95481,19.2459
1885-09-01 07:00:01,1885-10-01 07:00:00,1885-09,57,G,57.95481,19.2459
1885-10-01 07:00:01,1885-11-01 07:00:00,1885-10,125,G,57.95481,19.2459
1885-11-01 07:00:01,1885-12-01 07:00:00,1885-11,15,G,57.95481,19.2459
1885-12-01 07:00:01,1886-01-01 07:00:00,1885-12,27,G,57.95481,19.2459
1886-01-01 07:00:01,1886-02-01 07:00:00,1886-01,22,G,57.95481,19.2459
1886-02-01 07:00:01,1886-03-01 07:00:00,1886-02,3,G,57.95481,19.2459
1886-03-01 07:00:01,1886-04-01 07:00:00,1886-03,5,G,57.95481,19.2459
1886-04-01 07:00:01,1886-05-01 07:00:00,1886-04,27,G,57.95481,19.2459
1886-05-01 07:00:01,1886-06-01 07:00:00,1886-05,25,G,57.95481,19.2459
1886-06-01 07:00:01,1886-07-01 07:00:00,1886-06,43,G,57.95481,19.2459
1886-07-01 07:00:01,1886-08-01 07:00:00,1886-07,16,G,57.95481,19.2459
1886-08-01 07:00:01,1886-09-01 07:00:00,1886-08,23,G,57.95481,19.2459
1886-09-01 07:00:01,1886-10-01 07:00:00,1886-09,57,G,57.95481,19.2459
1886-10-01 07:00:01,1886-11-01 07:00:00,1886-10,32,G,57.95481,19.2459
1886-11-01 07:00:01,1886-12-01 07:00:00,1886-11,53,G,57.95481,19.2459
1886-12-01 07:00:01,1887-01-01 07:00:00,1886-12,35,G,57.95481,19.2459
1887-01-01 07:00:01,1887-02-01 07:00:00,1887-01,13,G,57.95481,19.2459
1887-02-01 07:00:01,1887-03-01 07:00:00,1887-02,3,G,57.95481,19.2459
1887-03-01 07:00:01,1887-04-01 07:00:00,1887-03,10,G,57.95481,19.2459
1887-04-01 07:00:01,1887-05-01 07:00:00,1887-04,12,G,57.95481,19.2459
1887-05-01 07:00:01,1887-06-01 07:00:00,1887-05,62,G,57.95481,19.2459
1887-06-01 07:00:01,1887-07-01 07:00:00,1887-06,42,G,57.95481,19.2459
1887-07-01 07:00:01,1887-08-01 07:00:00,1887-07,16,G,57.95481,19.2459
1887-08-01 07:00:01,1887-09-01 07:00:00,1887-08,56,G,57.95481,19.2459
1887-09-01 07:00:01,1887-10-01 07:00:00,1887-09,35,G,57.95481,19.2459
1887-10-01 07:00:01,1887-11-01 07:00:00,1887-10,57,G,57.95481,19.2459
1887-11-01 07:00:01,1887-12-01 07:00:00,1887-11,26,G,57.95481,19.2459
1887-12-01 07:00:01,1888-01-01 07:00:00,1887-12,38,G,57.95481,19.2459
1888-01-01 07:00:01,1888-02-01 07:00:00,1888-01,9,G,57.95481,19.2459
1888-02-01 07:00:01,1888-03-01 07:00:00,1888-02,13,G,57.95481,19.2459
1888-03-01 07:00:01,1888-04-01 07:00:00,1888-03,20,G,57.95481,19.2459
1888-04-01 07:00:01,1888-05-01 07:00:00,1888-04,10,G,57.95481,19.2459
1888-05-01 07:00:01,1888-06-01 07:00:00,1888-05,18,G,57.95481,19.2459
1888-06-01 07:00:01,1888-07-01 07:00:00,1888-06,16,G,57.95481,19.2459
