Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Nederbördsmängd,Kvalitet,Latitude,Longitude
5/1/53 6:00,6/1/53 6:00,1953-05,30.8,Y,57.5666,18.7666
6/1/53 6:00,7/1/53 6:00,1953-06,15.6,Y,57.5666,18.7666
7/1/53 6:00,8/1/53 6:00,1953-07,55.3,Y,57.5666,18.7666
8/1/53 6:00,9/1/53 6:00,1953-08,53.8,Y,57.5666,18.7666
9/1/53 6:00,10/1/53 6:00,1953-09,105.1,Y,57.5666,18.7666
10/1/53 6:00,11/1/53 6:00,1953-10,16.1,Y,57.5666,18.7666
11/1/53 6:00,12/1/53 6:00,1953-11,41.2,Y,57.5666,18.7666
12/1/53 6:00,1/1/54 6:00,1953-12,25.1,Y,57.5666,18.7666
1/1/54 6:00,2/1/54 6:00,1954-01,70.9,Y,57.5666,18.7666
2/1/54 6:00,3/1/54 6:00,1954-02,21.1,Y,57.5666,18.7666
3/1/54 6:00,4/1/54 6:00,1954-03,21.4,Y,57.5666,18.7666
4/1/54 6:00,5/1/54 6:00,1954-04,18,G,57.5666,18.7666
5/1/54 6:00,6/1/54 6:00,1954-05,16,G,57.5666,18.7666
6/1/54 6:00,7/1/54 6:00,1954-06,18.5,Y,57.5666,18.7666
7/1/54 6:00,8/1/54 6:00,1954-07,51.1,Y,57.5666,18.7666
8/1/54 6:00,9/1/54 6:00,1954-08,33.2,Y,57.5666,18.7666
9/1/54 6:00,10/1/54 6:00,1954-09,44.1,Y,57.5666,18.7666
10/1/54 6:00,11/1/54 6:00,1954-10,56,G,57.5666,18.7666
11/1/54 6:00,12/1/54 6:00,1954-11,49.3,Y,57.5666,18.7666
12/1/54 6:00,1/1/55 6:00,1954-12,60.3,Y,57.5666,18.7666
1/1/55 6:00,2/1/55 6:00,1955-01,22,Y,57.5666,18.7666
2/1/55 6:00,3/1/55 6:00,1955-02,42,Y,57.5666,18.7666
3/1/55 6:00,4/1/55 6:00,1955-03,22.7,Y,57.5666,18.7666
4/1/55 6:00,5/1/55 6:00,1955-04,50.8,Y,57.5666,18.7666
5/1/55 6:00,6/1/55 6:00,1955-05,54.6,Y,57.5666,18.7666
6/1/55 6:00,7/1/55 6:00,1955-06,42.3,Y,57.5666,18.7666
7/1/55 6:00,8/1/55 6:00,1955-07,2.1,Y,57.5666,18.7666
8/1/55 6:00,9/1/55 6:00,1955-08,31,Y,57.5666,18.7666
9/1/55 6:00,10/1/55 6:00,1955-09,82.7,Y,57.5666,18.7666
10/1/55 6:00,11/1/55 6:00,1955-10,61.6,Y,57.5666,18.7666
11/1/55 6:00,12/1/55 6:00,1955-11,23.7,Y,57.5666,18.7666
12/1/55 6:00,1/1/56 6:00,1955-12,85.6,Y,57.5666,18.7666
1/1/56 6:00,2/1/56 6:00,1956-01,45.4,Y,57.5666,18.7666
2/1/56 6:00,3/1/56 6:00,1956-02,40.9,Y,57.5666,18.7666
3/1/56 6:00,4/1/56 6:00,1956-03,7.1,Y,57.5666,18.7666
4/1/56 6:00,5/1/56 6:00,1956-04,16.7,Y,57.5666,18.7666
5/1/56 6:00,6/1/56 6:00,1956-05,7.9,Y,57.5666,18.7666
6/1/56 6:00,7/1/56 6:00,1956-06,53.4,Y,57.5666,18.7666
7/1/56 6:00,8/1/56 6:00,1956-07,50.6,Y,57.5666,18.7666
8/1/56 6:00,9/1/56 6:00,1956-08,74.7,Y,57.5666,18.7666
9/1/56 6:00,10/1/56 6:00,1956-09,65.3,Y,57.5666,18.7666
10/1/56 6:00,11/1/56 6:00,1956-10,31.8,Y,57.5666,18.7666
11/1/56 6:00,12/1/56 6:00,1956-11,15.2,Y,57.5666,18.7666
12/1/56 6:00,1/1/57 6:00,1956-12,70.3,Y,57.5666,18.7666
1/1/57 6:00,2/1/57 6:00,1957-01,26,G,57.5666,18.7666
2/1/57 6:00,3/1/57 6:00,1957-02,52.3,Y,57.5666,18.7666
3/1/57 6:00,4/1/57 6:00,1957-03,48.8,Y,57.5666,18.7666
4/1/57 6:00,5/1/57 6:00,1957-04,33.8,Y,57.5666,18.7666
5/1/57 6:00,6/1/57 6:00,1957-05,11.4,Y,57.5666,18.7666
6/1/57 6:00,7/1/57 6:00,1957-06,24.5,Y,57.5666,18.7666
7/1/57 6:00,8/1/57 6:00,1957-07,74.9,Y,57.5666,18.7666
8/1/57 6:00,9/1/57 6:00,1957-08,68.3,Y,57.5666,18.7666
9/1/57 6:00,10/1/57 6:00,1957-09,63.2,Y,57.5666,18.7666
10/1/57 6:00,11/1/57 6:00,1957-10,59.5,Y,57.5666,18.7666
11/1/57 6:00,12/1/57 6:00,1957-11,14.2,Y,57.5666,18.7666
12/1/57 6:00,1/1/58 6:00,1957-12,36.9,Y,57.5666,18.7666
1/1/58 6:00,2/1/58 6:00,1958-01,23.6,Y,57.5666,18.7666
2/1/58 6:00,3/1/58 6:00,1958-02,43.5,Y,57.5666,18.7666
3/1/58 6:00,4/1/58 6:00,1958-03,41.9,Y,57.5666,18.7666
