Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Nederbördsmängd,Kvalitet,Latitude,Longitude
1879-12-01 07:00:01,1880-01-01 07:00:00,1879-12,72.4,Y,56.9222,18.1471
1880-01-01 07:00:01,1880-02-01 07:00:00,1880-01,17.8,Y,56.9222,18.1471
1880-02-01 07:00:01,1880-03-01 07:00:00,1880-02,56.9,Y,56.9222,18.1471
1880-03-01 07:00:01,1880-04-01 07:00:00,1880-03,10.9,Y,56.9222,18.1471
1880-04-01 07:00:01,1880-05-01 07:00:00,1880-04,22.9,Y,56.9222,18.1471
1880-05-01 07:00:01,1880-06-01 07:00:00,1880-05,32.6,Y,56.9222,18.1471
1880-06-01 07:00:01,1880-07-01 07:00:00,1880-06,23.7,Y,56.9222,18.1471
1880-07-01 07:00:01,1880-08-01 07:00:00,1880-07,30.6,Y,56.9222,18.1471
1880-08-01 07:00:01,1880-09-01 07:00:00,1880-08,22.2,Y,56.9222,18.1471
1880-09-01 07:00:01,1880-10-01 07:00:00,1880-09,18.7,Y,56.9222,18.1471
1880-10-01 07:00:01,1880-11-01 07:00:00,1880-10,90.5,Y,56.9222,18.1471
1880-11-01 07:00:01,1880-12-01 07:00:00,1880-11,47.3,Y,56.9222,18.1471
1880-12-01 07:00:01,1881-01-01 07:00:00,1880-12,45.3,Y,56.9222,18.1471
1881-01-01 07:00:01,1881-02-01 07:00:00,1881-01,50.2,Y,56.9222,18.1471
1881-02-01 07:00:01,1881-03-01 07:00:00,1881-02,45.5,Y,56.9222,18.1471
1881-03-01 07:00:01,1881-04-01 07:00:00,1881-03,78.8,Y,56.9222,18.1471
1881-04-01 07:00:01,1881-05-01 07:00:00,1881-04,26.9,Y,56.9222,18.1471
1881-05-01 07:00:01,1881-06-01 07:00:00,1881-05,23.9,Y,56.9222,18.1471
1881-06-01 07:00:01,1881-07-01 07:00:00,1881-06,48.6,Y,56.9222,18.1471
1881-07-01 07:00:01,1881-08-01 07:00:00,1881-07,37.7,Y,56.9222,18.1471
1881-08-01 07:00:01,1881-09-01 07:00:00,1881-08,42.7,Y,56.9222,18.1471
1881-09-01 07:00:01,1881-10-01 07:00:00,1881-09,79.6,Y,56.9222,18.1471
1881-10-01 07:00:01,1881-11-01 07:00:00,1881-10,51.9,Y,56.9222,18.1471
1881-11-01 07:00:01,1881-12-01 07:00:00,1881-11,26.8,Y,56.9222,18.1471
1881-12-01 07:00:01,1882-01-01 07:00:00,1881-12,19.8,Y,56.9222,18.1471
1882-01-01 07:00:01,1882-02-01 07:00:00,1882-01,13.2,Y,56.9222,18.1471
1882-02-01 07:00:01,1882-03-01 07:00:00,1882-02,9.8,Y,56.9222,18.1471
1882-03-01 07:00:01,1882-04-01 07:00:00,1882-03,19.1,Y,56.9222,18.1471
1882-04-01 07:00:01,1882-05-01 07:00:00,1882-04,16.5,Y,56.9222,18.1471
1882-05-01 07:00:01,1882-06-01 07:00:00,1882-05,27,Y,56.9222,18.1471
1882-06-01 07:00:01,1882-07-01 07:00:00,1882-06,52.4,Y,56.9222,18.1471
1882-07-01 07:00:01,1882-08-01 07:00:00,1882-07,94.8,Y,56.9222,18.1471
1882-08-01 07:00:01,1882-09-01 07:00:00,1882-08,48.9,Y,56.9222,18.1471
1882-09-01 07:00:01,1882-10-01 07:00:00,1882-09,11,G,56.9222,18.1471
1882-10-01 07:00:01,1882-11-01 07:00:00,1882-10,23.2,Y,56.9222,18.1471
1882-11-01 07:00:01,1882-12-01 07:00:00,1882-11,63.2,Y,56.9222,18.1471
1882-12-01 07:00:01,1883-01-01 07:00:00,1882-12,42.8,Y,56.9222,18.1471
1883-01-01 07:00:01,1883-02-01 07:00:00,1883-01,24.1,Y,56.9222,18.1471
1883-02-01 07:00:01,1883-03-01 07:00:00,1883-02,6.5,Y,56.9222,18.1471
1883-03-01 07:00:01,1883-04-01 07:00:00,1883-03,60.7,Y,56.9222,18.1471
1883-04-01 07:00:01,1883-05-01 07:00:00,1883-04,5.2,Y,56.9222,18.1471
1883-05-01 07:00:01,1883-06-01 07:00:00,1883-05,27.2,Y,56.9222,18.1471
1883-06-01 07:00:01,1883-07-01 07:00:00,1883-06,48.6,Y,56.9222,18.1471
1883-07-01 07:00:01,1883-08-01 07:00:00,1883-07,88.8,Y,56.9222,18.1471
1883-08-01 07:00:01,1883-09-01 07:00:00,1883-08,46.5,Y,56.9222,18.1471
1883-09-01 07:00:01,1883-10-01 07:00:00,1883-09,43.9,Y,56.9222,18.1471
1883-10-01 07:00:01,1883-11-01 07:00:00,1883-10,47,G,56.9222,18.1471
1883-11-01 07:00:01,1883-12-01 07:00:00,1883-11,95.7,Y,56.9222,18.1471
1883-12-01 07:00:01,1884-01-01 07:00:00,1883-12,38.1,Y,56.9222,18.1471
1884-01-01 07:00:01,1884-02-01 07:00:00,1884-01,40.6,Y,56.9222,18.1471
1884-02-01 07:00:01,1884-03-01 07:00:00,1884-02,37.8,Y,56.9222,18.1471
1884-03-01 07:00:01,1884-04-01 07:00:00,1884-03,34.7,Y,56.9222,18.1471
1884-04-01 07:00:01,1884-05-01 07:00:00,1884-04,13.2,Y,56.9222,18.1471
1884-05-01 07:00:01,1884-06-01 07:00:00,1884-05,22.5,Y,56.9222,18.1471
1884-06-01 07:00:01,1884-07-01 07:00:00,1884-06,52.9,Y,56.9222,18.1471
1884-07-01 07:00:01,1884-08-01 07:00:00,1884-07,58.1,Y,56.9222,18.1471
1884-08-01 07:00:01,1884-09-01 07:00:00,1884-08,15.2,Y,56.9222,18.1471
1884-09-01 07:00:01,1884-10-01 07:00:00,1884-09,11.6,Y,56.9222,18.1471
1884-10-01 07:00:01,1884-11-01 07:00:00,1884-10,62,Y,56.9222,18.1471
1884-11-01 07:00:01,1884-12-01 07:00:00,1884-11,73,Y,56.9222,18.1471
1884-12-01 07:00:01,1885-01-01 07:00:00,1884-12,69.9,Y,56.9222,18.1471
1885-01-01 07:00:01,1885-02-01 07:00:00,1885-01,22.9,Y,56.9222,18.1471
1885-02-01 07:00:01,1885-03-01 07:00:00,1885-02,27.5,Y,56.9222,18.1471
1885-03-01 07:00:01,1885-04-01 07:00:00,1885-03,8.3,Y,56.9222,18.1471
1885-04-01 07:00:01,1885-05-01 07:00:00,1885-04,4.1,Y,56.9222,18.1471
1885-05-01 07:00:01,1885-06-01 07:00:00,1885-05,30,G,56.9222,18.1471
1885-06-01 07:00:01,1885-07-01 07:00:00,1885-06,13.8,Y,56.9222,18.1471
1885-07-01 07:00:01,1885-08-01 07:00:00,1885-07,26.6,Y,56.9222,18.1471
1885-08-01 07:00:01,1885-09-01 07:00:00,1885-08,108.3,Y,56.9222,18.1471
1885-09-01 07:00:01,1885-10-01 07:00:00,1885-09,20.9,Y,56.9222,18.1471
1885-10-01 07:00:01,1885-11-01 07:00:00,1885-10,107.4,Y,56.9222,18.1471
1885-11-01 07:00:01,1885-12-01 07:00:00,1885-11,13.2,Y,56.9222,18.1471
1885-12-01 07:00:01,1886-01-01 07:00:00,1885-12,22.2,Y,56.9222,18.1471
1886-01-01 07:00:01,1886-02-01 07:00:00,1886-01,24.5,Y,56.9222,18.1471
1886-02-01 07:00:01,1886-03-01 07:00:00,1886-02,12.4,Y,56.9222,18.1471
1886-03-01 07:00:01,1886-04-01 07:00:00,1886-03,20.9,Y,56.9222,18.1471
1886-04-01 07:00:01,1886-05-01 07:00:00,1886-04,27.4,Y,56.9222,18.1471
1886-05-01 07:00:01,1886-06-01 07:00:00,1886-05,15.2,Y,56.9222,18.1471
1886-06-01 07:00:01,1886-07-01 07:00:00,1886-06,39.1,Y,56.9222,18.1471
1886-07-01 07:00:01,1886-08-01 07:00:00,1886-07,29.6,Y,56.9222,18.1471
1886-08-01 07:00:01,1886-09-01 07:00:00,1886-08,7.5,Y,56.9222,18.1471
1886-09-01 07:00:01,1886-10-01 07:00:00,1886-09,34.4,Y,56.9222,18.1471
1886-10-01 07:00:01,1886-11-01 07:00:00,1886-10,19.4,Y,56.9222,18.1471
1886-11-01 07:00:01,1886-12-01 07:00:00,1886-11,41.7,Y,56.9222,18.1471
1886-12-01 07:00:01,1887-01-01 07:00:00,1886-12,56.5,Y,56.9222,18.1471
1887-01-01 07:00:01,1887-02-01 07:00:00,1887-01,17,Y,56.9222,18.1471
1887-02-01 07:00:01,1887-03-01 07:00:00,1887-02,5.2,Y,56.9222,18.1471
1887-03-01 07:00:01,1887-04-01 07:00:00,1887-03,16.4,Y,56.9222,18.1471
1887-04-01 07:00:01,1887-05-01 07:00:00,1887-04,16.1,Y,56.9222,18.1471
1887-05-01 07:00:01,1887-06-01 07:00:00,1887-05,49,Y,56.9222,18.1471
1887-06-01 07:00:01,1887-07-01 07:00:00,1887-06,26.8,Y,56.9222,18.1471
1887-07-01 07:00:01,1887-08-01 07:00:00,1887-07,23.9,Y,56.9222,18.1471
1887-08-01 07:00:01,1887-09-01 07:00:00,1887-08,25.8,Y,56.9222,18.1471
1887-09-01 07:00:01,1887-10-01 07:00:00,1887-09,25.4,Y,56.9222,18.1471
1887-10-01 07:00:01,1887-11-01 07:00:00,1887-10,23.5,Y,56.9222,18.1471
1887-11-01 07:00:01,1887-12-01 07:00:00,1887-11,54.5,Y,56.9222,18.1471
1887-12-01 07:00:01,1888-01-01 07:00:00,1887-12,54.2,Y,56.9222,18.1471
1888-01-01 07:00:01,1888-02-01 07:00:00,1888-01,11.6,Y,56.9222,18.1471
1888-02-01 07:00:01,1888-03-01 07:00:00,1888-02,24.9,Y,56.9222,18.1471
1888-03-01 07:00:01,1888-04-01 07:00:00,1888-03,69.5,Y,56.9222,18.1471
1888-04-01 07:00:01,1888-05-01 07:00:00,1888-04,35.9,Y,56.9222,18.1471
1888-05-01 07:00:01,1888-06-01 07:00:00,1888-05,24.9,Y,56.9222,18.1471
1888-06-01 07:00:01,1888-07-01 07:00:00,1888-06,20.8,Y,56.9222,18.1471
1888-07-01 07:00:01,1888-08-01 07:00:00,1888-07,50.1,Y,56.9222,18.1471
1888-08-01 07:00:01,1888-09-01 07:00:00,1888-08,25.6,Y,56.9222,18.1471
1888-09-01 07:00:01,1888-10-01 07:00:00,1888-09,31.8,Y,56.9222,18.1471
1888-10-01 07:00:01,1888-11-01 07:00:00,1888-10,42,G,56.9222,18.1471
1888-11-01 07:00:01,1888-12-01 07:00:00,1888-11,30,Y,56.9222,18.1471
1888-12-01 07:00:01,1889-01-01 07:00:00,1888-12,16.3,Y,56.9222,18.1471
1889-01-01 07:00:01,1889-02-01 07:00:00,1889-01,11,Y,56.9222,18.1471
1889-02-01 07:00:01,1889-03-01 07:00:00,1889-02,116.7,Y,56.9222,18.1471
1889-03-01 07:00:01,1889-04-01 07:00:00,1889-03,42.2,Y,56.9222,18.1471
1889-04-01 07:00:01,1889-05-01 07:00:00,1889-04,33.4,Y,56.9222,18.1471
1889-05-01 07:00:01,1889-06-01 07:00:00,1889-05,5.8,Y,56.9222,18.1471
1889-06-01 07:00:01,1889-07-01 07:00:00,1889-06,28.6,Y,56.9222,18.1471
1889-07-01 07:00:01,1889-08-01 07:00:00,1889-07,43.6,Y,56.9222,18.1471
1889-08-01 07:00:01,1889-09-01 07:00:00,1889-08,43.8,Y,56.9222,18.1471
