Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Nederbördsmängd,Kvalitet,Latitude,Longitude
1/1/33 7:00,2/1/33 7:00,1933-01,25,G,57.8166,18.9333
2/1/33 7:00,3/1/33 7:00,1933-02,37,G,57.8166,18.9333
3/1/33 7:00,4/1/33 7:00,1933-03,24,G,57.8166,18.9333
4/1/33 7:00,5/1/33 7:00,1933-04,48,G,57.8166,18.9333
5/1/33 7:00,6/1/33 7:00,1933-05,37,G,57.8166,18.9333
6/1/33 7:00,7/1/33 7:00,1933-06,26,G,57.8166,18.9333
7/1/33 7:00,8/1/33 7:00,1933-07,59,G,57.8166,18.9333
8/1/33 7:00,9/1/33 7:00,1933-08,49,G,57.8166,18.9333
9/1/33 7:00,10/1/33 7:00,1933-09,76,G,57.8166,18.9333
10/1/33 7:00,11/1/33 7:00,1933-10,69,G,57.8166,18.9333
11/1/33 7:00,12/1/33 7:00,1933-11,42,G,57.8166,18.9333
12/1/33 7:00,1/1/34 7:00,1933-12,35,G,57.8166,18.9333
1/1/34 7:00,2/1/34 7:00,1934-01,18,G,57.8166,18.9333
2/1/34 7:00,3/1/34 7:00,1934-02,33,G,57.8166,18.9333
3/1/34 7:00,4/1/34 7:00,1934-03,59,G,57.8166,18.9333
4/1/34 7:00,5/1/34 7:00,1934-04,14,G,57.8166,18.9333
5/1/34 7:00,6/1/34 7:00,1934-05,26,G,57.8166,18.9333
6/1/34 7:00,7/1/34 7:00,1934-06,46,G,57.8166,18.9333
7/1/34 7:00,8/1/34 7:00,1934-07,72,G,57.8166,18.9333
8/1/34 7:00,9/1/34 7:00,1934-08,39,G,57.8166,18.9333
9/1/34 7:00,10/1/34 7:00,1934-09,48,G,57.8166,18.9333
10/1/34 7:00,11/1/34 7:00,1934-10,93,G,57.8166,18.9333
11/1/34 7:00,12/1/34 7:00,1934-11,47,G,57.8166,18.9333
12/1/34 7:00,1/1/35 7:00,1934-12,29,G,57.8166,18.9333
1/1/35 7:00,2/1/35 7:00,1935-01,37,G,57.8166,18.9333
2/1/35 7:00,3/1/35 7:00,1935-02,61,G,57.8166,18.9333
3/1/35 7:00,4/1/35 7:00,1935-03,23,G,57.8166,18.9333
4/1/35 7:00,5/1/35 7:00,1935-04,40,G,57.8166,18.9333
5/1/35 7:00,6/1/35 7:00,1935-05,25,G,57.8166,18.9333
6/1/35 7:00,7/1/35 7:00,1935-06,40,G,57.8166,18.9333
7/1/35 7:00,8/1/35 7:00,1935-07,145,G,57.8166,18.9333
8/1/35 7:00,9/1/35 7:00,1935-08,50,G,57.8166,18.9333
9/1/35 7:00,10/1/35 7:00,1935-09,137,G,57.8166,18.9333
10/1/35 7:00,11/1/35 7:00,1935-10,102,G,57.8166,18.9333
11/1/35 7:00,12/1/35 7:00,1935-11,51,G,57.8166,18.9333
12/1/35 7:00,1/1/36 7:00,1935-12,81,G,57.8166,18.9333
1/1/36 7:00,2/1/36 7:00,1936-01,52,G,57.8166,18.9333
2/1/36 7:00,3/1/36 7:00,1936-02,65,G,57.8166,18.9333
3/1/36 7:00,4/1/36 7:00,1936-03,53,G,57.8166,18.9333
4/1/36 7:00,5/1/36 7:00,1936-04,90,G,57.8166,18.9333
5/1/36 7:00,6/1/36 7:00,1936-05,18,G,57.8166,18.9333
6/1/36 7:00,7/1/36 7:00,1936-06,21,G,57.8166,18.9333
7/1/36 7:00,8/1/36 7:00,1936-07,54,G,57.8166,18.9333
8/1/36 7:00,9/1/36 7:00,1936-08,46,G,57.8166,18.9333
9/1/36 7:00,10/1/36 7:00,1936-09,32,G,57.8166,18.9333
10/1/36 7:00,11/1/36 7:00,1936-10,116,G,57.8166,18.9333
11/1/36 7:00,12/1/36 7:00,1936-11,41,G,57.8166,18.9333
12/1/36 7:00,1/1/37 7:00,1936-12,20,G,57.8166,18.9333
1/1/37 7:00,2/1/37 7:00,1937-01,29,G,57.8166,18.9333
2/1/37 7:00,3/1/37 7:00,1937-02,63,G,57.8166,18.9333
3/1/37 7:00,4/1/37 7:00,1937-03,44,G,57.8166,18.9333
4/1/37 7:00,5/1/37 7:00,1937-04,18,G,57.8166,18.9333
5/1/37 7:00,6/1/37 7:00,1937-05,12,G,57.8166,18.9333
6/1/37 7:00,7/1/37 7:00,1937-06,29,G,57.8166,18.9333
7/1/37 7:00,8/1/37 7:00,1937-07,90,G,57.8166,18.9333
8/1/37 7:00,9/1/37 7:00,1937-08,89,G,57.8166,18.9333
9/1/37 7:00,10/1/37 7:00,1937-09,96,G,57.8166,18.9333
10/1/37 7:00,11/1/37 7:00,1937-10,18,G,57.8166,18.9333
11/1/37 7:00,12/1/37 7:00,1937-11,77,G,57.8166,18.9333
12/1/37 7:00,1/1/38 7:00,1937-12,93,G,57.8166,18.9333
1/1/38 7:00,2/1/38 7:00,1938-01,46,G,57.8166,18.9333
2/1/38 7:00,3/1/38 7:00,1938-02,9,G,57.8166,18.9333
3/1/38 7:00,4/1/38 7:00,1938-03,15,G,57.8166,18.9333
4/1/38 7:00,5/1/38 7:00,1938-04,24,G,57.8166,18.9333
5/1/38 7:00,6/1/38 7:00,1938-05,39,G,57.8166,18.9333
6/1/38 7:00,7/1/38 7:00,1938-06,13,G,57.8166,18.9333
7/1/38 7:00,8/1/38 7:00,1938-07,60,G,57.8166,18.9333
8/1/38 7:00,9/1/38 7:00,1938-08,31,G,57.8166,18.9333
9/1/38 7:00,10/1/38 7:00,1938-09,12,G,57.8166,18.9333
10/1/38 7:00,11/1/38 7:00,1938-10,66,G,57.8166,18.9333
11/1/38 7:00,12/1/38 7:00,1938-11,20,G,57.8166,18.9333
12/1/38 7:00,1/1/39 7:00,1938-12,27,G,57.8166,18.9333
1/1/39 7:00,2/1/39 7:00,1939-01,73,G,57.8166,18.9333
2/1/39 7:00,3/1/39 7:00,1939-02,22,G,57.8166,18.9333
3/1/39 7:00,4/1/39 7:00,1939-03,27,G,57.8166,18.9333
4/1/39 7:00,5/1/39 7:00,1939-04,32,G,57.8166,18.9333
5/1/39 7:00,6/1/39 7:00,1939-05,1,G,57.8166,18.9333
6/1/39 7:00,7/1/39 7:00,1939-06,15,G,57.8166,18.9333
7/1/39 7:00,8/1/39 7:00,1939-07,27,G,57.8166,18.9333
8/1/39 7:00,9/1/39 7:00,1939-08,40,G,57.8166,18.9333
9/1/39 7:00,10/1/39 7:00,1939-09,41,G,57.8166,18.9333
10/1/39 7:00,11/1/39 7:00,1939-10,51,G,57.8166,18.9333
11/1/39 7:00,12/1/39 7:00,1939-11,33,G,57.8166,18.9333
12/1/39 7:00,1/1/40 7:00,1939-12,26,G,57.8166,18.9333
1/1/40 7:00,2/1/40 7:00,1940-01,53,G,57.8166,18.9333
2/1/40 7:00,3/1/40 7:00,1940-02,48,G,57.8166,18.9333
3/1/40 7:00,4/1/40 7:00,1940-03,61,G,57.8166,18.9333
4/1/40 7:00,5/1/40 7:00,1940-04,15,G,57.8166,18.9333
5/1/40 7:00,6/1/40 7:00,1940-05,9,G,57.8166,18.9333
6/1/40 7:00,7/1/40 7:00,1940-06,3,G,57.8166,18.9333
7/1/40 7:00,8/1/40 7:00,1940-07,38,G,57.8166,18.9333
8/1/40 7:00,9/1/40 7:00,1940-08,106,G,57.8166,18.9333
9/1/40 7:00,10/1/40 7:00,1940-09,110,G,57.8166,18.9333
10/1/40 7:00,11/1/40 7:00,1940-10,57,G,57.8166,18.9333
11/1/40 7:00,12/1/40 7:00,1940-11,59,G,57.8166,18.9333
12/1/40 7:00,1/1/41 7:00,1940-12,45,G,57.8166,18.9333
1/1/41 7:00,2/1/41 7:00,1941-01,17,G,57.8166,18.9333
2/1/41 7:00,3/1/41 7:00,1941-02,60,G,57.8166,18.9333
3/1/41 7:00,4/1/41 7:00,1941-03,30,G,57.8166,18.9333
4/1/41 7:00,5/1/41 7:00,1941-04,11,G,57.8166,18.9333
5/1/41 7:00,6/1/41 7:00,1941-05,0,G,57.8166,18.9333
6/1/41 7:00,7/1/41 7:00,1941-06,41,G,57.8166,18.9333
7/1/41 7:00,8/1/41 7:00,1941-07,3,G,57.8166,18.9333
8/1/41 7:00,9/1/41 7:00,1941-08,98,G,57.8166,18.9333
9/1/41 7:00,10/1/41 7:00,1941-09,28,G,57.8166,18.9333
10/1/41 7:00,11/1/41 7:00,1941-10,48,G,57.8166,18.9333
11/1/41 7:00,12/1/41 7:00,1941-11,36,G,57.8166,18.9333
12/1/41 7:00,1/1/42 7:00,1941-12,76,G,57.8166,18.9333
1/1/42 7:00,2/1/42 7:00,1942-01,50,G,57.8166,18.9333
2/1/42 7:00,3/1/42 7:00,1942-02,12,G,57.8166,18.9333
3/1/42 7:00,4/1/42 7:00,1942-03,0,G,57.8166,18.9333
4/1/42 7:00,5/1/42 7:00,1942-04,19,G,57.8166,18.9333
5/1/42 7:00,6/1/42 7:00,1942-05,55,G,57.8166,18.9333
6/1/42 7:00,7/1/42 7:00,1942-06,12,G,57.8166,18.9333
7/1/42 7:00,8/1/42 7:00,1942-07,101,G,57.8166,18.9333
8/1/42 7:00,9/1/42 7:00,1942-08,9,G,57.8166,18.9333
9/1/42 7:00,10/1/42 7:00,1942-09,100,G,57.8166,18.9333
10/1/42 7:00,11/1/42 7:00,1942-10,26,G,57.8166,18.9333
11/1/42 7:00,12/1/42 7:00,1942-11,27,G,57.8166,18.9333
12/1/42 7:00,1/1/43 7:00,1942-12,42,G,57.8166,18.9333
