Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Nederbördsmängd,Kvalitet,Latitude,Longitude
1/1/31 7:00,2/1/31 7:00,1931-01,47,G,57.5069,18.4539
2/1/31 7:00,3/1/31 7:00,1931-02,28,G,57.5069,18.4539
3/1/31 7:00,4/1/31 7:00,1931-03,28,G,57.5069,18.4539
4/1/31 7:00,5/1/31 7:00,1931-04,43,G,57.5069,18.4539
5/1/31 7:00,6/1/31 7:00,1931-05,31,G,57.5069,18.4539
6/1/31 7:00,7/1/31 7:00,1931-06,15,G,57.5069,18.4539
7/1/31 7:00,8/1/31 7:00,1931-07,79,G,57.5069,18.4539
8/1/31 7:00,9/1/31 7:00,1931-08,34,G,57.5069,18.4539
9/1/31 7:00,10/1/31 7:00,1931-09,25,G,57.5069,18.4539
10/1/31 7:00,11/1/31 7:00,1931-10,48,G,57.5069,18.4539
11/1/31 7:00,12/1/31 7:00,1931-11,28,G,57.5069,18.4539
12/1/31 7:00,1/1/32 7:00,1931-12,64,G,57.5069,18.4539
1/1/32 7:00,2/1/32 7:00,1932-01,49,G,57.5069,18.4539
2/1/32 7:00,3/1/32 7:00,1932-02,9,G,57.5069,18.4539
3/1/32 7:00,4/1/32 7:00,1932-03,26,G,57.5069,18.4539
4/1/32 7:00,5/1/32 7:00,1932-04,42,G,57.5069,18.4539
5/1/32 7:00,6/1/32 7:00,1932-05,99,G,57.5069,18.4539
6/1/32 7:00,7/1/32 7:00,1932-06,14,G,57.5069,18.4539
7/1/32 7:00,8/1/32 7:00,1932-07,70,G,57.5069,18.4539
8/1/32 7:00,9/1/32 7:00,1932-08,50,G,57.5069,18.4539
9/1/32 7:00,10/1/32 7:00,1932-09,43,G,57.5069,18.4539
10/1/32 7:00,11/1/32 7:00,1932-10,110,G,57.5069,18.4539
11/1/32 7:00,12/1/32 7:00,1932-11,41,G,57.5069,18.4539
12/1/32 7:00,1/1/33 7:00,1932-12,21,G,57.5069,18.4539
1/1/33 7:00,2/1/33 7:00,1933-01,27,G,57.5069,18.4539
2/1/33 7:00,3/1/33 7:00,1933-02,32,G,57.5069,18.4539
3/1/33 7:00,4/1/33 7:00,1933-03,19,G,57.5069,18.4539
4/1/33 7:00,5/1/33 7:00,1933-04,41,G,57.5069,18.4539
5/1/33 7:00,6/1/33 7:00,1933-05,45,G,57.5069,18.4539
6/1/33 7:00,7/1/33 7:00,1933-06,14,G,57.5069,18.4539
7/1/33 7:00,8/1/33 7:00,1933-07,56,G,57.5069,18.4539
8/1/33 7:00,9/1/33 7:00,1933-08,61,G,57.5069,18.4539
9/1/33 7:00,10/1/33 7:00,1933-09,35,G,57.5069,18.4539
10/1/33 7:00,11/1/33 7:00,1933-10,59,G,57.5069,18.4539
11/1/33 7:00,12/1/33 7:00,1933-11,32,G,57.5069,18.4539
12/1/33 7:00,1/1/34 7:00,1933-12,20,G,57.5069,18.4539
1/1/34 7:00,2/1/34 7:00,1934-01,25,G,57.5069,18.4539
2/1/34 7:00,3/1/34 7:00,1934-02,18,G,57.5069,18.4539
3/1/34 7:00,4/1/34 7:00,1934-03,38,G,57.5069,18.4539
4/1/34 7:00,5/1/34 7:00,1934-04,16,G,57.5069,18.4539
5/1/34 7:00,6/1/34 7:00,1934-05,25,G,57.5069,18.4539
6/1/34 7:00,7/1/34 7:00,1934-06,99,G,57.5069,18.4539
7/1/34 7:00,8/1/34 7:00,1934-07,64,G,57.5069,18.4539
8/1/34 7:00,9/1/34 7:00,1934-08,61,G,57.5069,18.4539
9/1/34 7:00,10/1/34 7:00,1934-09,59,G,57.5069,18.4539
10/1/34 7:00,11/1/34 7:00,1934-10,123,G,57.5069,18.4539
11/1/34 7:00,12/1/34 7:00,1934-11,60,G,57.5069,18.4539
12/1/34 7:00,1/1/35 7:00,1934-12,31,G,57.5069,18.4539
1/1/35 7:00,2/1/35 7:00,1935-01,41,G,57.5069,18.4539
2/1/35 7:00,3/1/35 7:00,1935-02,70,G,57.5069,18.4539
3/1/35 7:00,4/1/35 7:00,1935-03,29,G,57.5069,18.4539
4/1/35 7:00,5/1/35 7:00,1935-04,44,G,57.5069,18.4539
5/1/35 7:00,6/1/35 7:00,1935-05,40,G,57.5069,18.4539
6/1/35 7:00,7/1/35 7:00,1935-06,89,G,57.5069,18.4539
7/1/35 7:00,8/1/35 7:00,1935-07,140,G,57.5069,18.4539
8/1/35 7:00,9/1/35 7:00,1935-08,39,G,57.5069,18.4539
9/1/35 7:00,10/1/35 7:00,1935-09,113,G,57.5069,18.4539
10/1/35 7:00,11/1/35 7:00,1935-10,94,G,57.5069,18.4539
11/1/35 7:00,12/1/35 7:00,1935-11,37,G,57.5069,18.4539
12/1/35 7:00,1/1/36 7:00,1935-12,72,G,57.5069,18.4539
1/1/36 7:00,2/1/36 7:00,1936-01,38,G,57.5069,18.4539
2/1/36 7:00,3/1/36 7:00,1936-02,48,G,57.5069,18.4539
3/1/36 7:00,4/1/36 7:00,1936-03,33,G,57.5069,18.4539
4/1/36 7:00,5/1/36 7:00,1936-04,80,G,57.5069,18.4539
5/1/36 7:00,6/1/36 7:00,1936-05,13,G,57.5069,18.4539
6/1/36 7:00,7/1/36 7:00,1936-06,15,G,57.5069,18.4539
7/1/36 7:00,8/1/36 7:00,1936-07,62,G,57.5069,18.4539
8/1/36 7:00,9/1/36 7:00,1936-08,51,G,57.5069,18.4539
9/1/36 7:00,10/1/36 7:00,1936-09,65,G,57.5069,18.4539
