Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Nederbördsmängd,Kvalitet,Latitude,Longitude
1/2/46 7:00,2/1/46 7:00,1946-01,20,G,57.6614,18.3428
1/30/46 7:00,3/1/46 7:00,1946-02,51,G,57.6614,18.3428
3/2/46 7:00,4/1/46 7:00,1946-03,16,G,57.6614,18.3428
4/1/46 7:00,5/1/46 7:00,1946-04,12,G,57.6614,18.3428
5/2/46 7:00,6/1/46 7:00,1946-05,37,G,57.6614,18.3428
6/1/46 7:00,7/1/46 7:00,1946-06,48,G,57.6614,18.3428
7/2/46 7:00,8/1/46 7:00,1946-07,59,G,57.6614,18.3428
8/2/46 7:00,9/1/46 7:00,1946-08,114,G,57.6614,18.3428
9/1/46 7:00,10/1/46 7:00,1946-09,89,G,57.6614,18.3428
10/2/46 7:00,11/1/46 7:00,1946-10,29,G,57.6614,18.3428
11/1/46 7:00,12/1/46 7:00,1946-11,21,G,57.6614,18.3428
12/2/46 7:00,1/1/47 7:00,1946-12,19,G,57.6614,18.3428
1/2/47 6:00,2/1/47 6:00,1947-01,28,G,57.6614,18.3428
1/30/47 6:00,3/1/47 6:00,1947-02,11,G,57.6614,18.3428
3/2/47 6:00,4/1/47 6:00,1947-03,39,G,57.6614,18.3428
4/1/47 6:00,5/1/47 6:00,1947-04,35,G,57.6614,18.3428
5/2/47 6:00,6/1/47 6:00,1947-05,18,G,57.6614,18.3428
6/1/47 6:00,7/1/47 6:00,1947-06,64,G,57.6614,18.3428
7/2/47 6:00,8/1/47 6:00,1947-07,50,G,57.6614,18.3428
8/2/47 6:00,9/1/47 6:00,1947-08,34,G,57.6614,18.3428
9/1/47 6:00,10/1/47 6:00,1947-09,16,G,57.6614,18.3428
10/2/47 6:00,11/1/47 6:00,1947-10,17,G,57.6614,18.3428
11/1/47 6:00,12/1/47 6:00,1947-11,74,G,57.6614,18.3428
12/2/47 6:00,1/1/48 6:00,1947-12,71,G,57.6614,18.3428
1/2/48 6:00,2/1/48 6:00,1948-01,67,G,57.6614,18.3428
1/31/48 6:00,3/1/48 6:00,1948-02,16,G,57.6614,18.3428
3/2/48 6:00,4/1/48 6:00,1948-03,26,G,57.6614,18.3428
4/1/48 6:00,5/1/48 6:00,1948-04,19,G,57.6614,18.3428
5/2/48 6:00,6/1/48 6:00,1948-05,36,G,57.6614,18.3428
6/1/48 6:00,7/1/48 6:00,1948-06,43,G,57.6614,18.3428
7/2/48 6:00,8/1/48 6:00,1948-07,11,G,57.6614,18.3428
8/2/48 6:00,9/1/48 6:00,1948-08,137,G,57.6614,18.3428
9/1/48 6:00,10/1/48 6:00,1948-09,66,G,57.6614,18.3428
10/2/48 6:00,11/1/48 6:00,1948-10,26,G,57.6614,18.3428
11/1/48 6:00,12/1/48 6:00,1948-11,47,G,57.6614,18.3428
12/2/48 6:00,1/1/49 6:00,1948-12,13,G,57.6614,18.3428
1/2/49 6:00,2/1/49 6:00,1949-01,40.2,Y,57.6614,18.3428
1/30/49 6:00,3/1/49 6:00,1949-02,11,G,57.6614,18.3428
3/2/49 6:00,4/1/49 6:00,1949-03,19.9,Y,57.6614,18.3428
4/1/49 6:00,5/1/49 6:00,1949-04,37.4,Y,57.6614,18.3428
5/2/49 6:00,6/1/49 6:00,1949-05,25.6,Y,57.6614,18.3428
6/1/49 6:00,7/1/49 6:00,1949-06,55.2,Y,57.6614,18.3428
7/2/49 6:00,8/1/49 6:00,1949-07,10.9,Y,57.6614,18.3428
8/2/49 6:00,9/1/49 6:00,1949-08,57.3,Y,57.6614,18.3428
9/1/49 6:00,10/1/49 6:00,1949-09,39.7,Y,57.6614,18.3428
10/2/49 6:00,11/1/49 6:00,1949-10,27.6,Y,57.6614,18.3428
