Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hoburg D;68550;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2013-01-01 00:00:00;2019-06-01 15:00:00;38.0;56.922;18.1504
1880-01-01 00:00:00;2012-12-31 23:59:59;38.0;56.9222;18.1471

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1879-12-01 07:00:01;1880-01-01 07:00:00;1879-12;72.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1880-01-01 07:00:01;1880-02-01 07:00:00;1880-01;17.8;Y;;Tidsperiod (fr.o.m.) = 1880-01-01 00:00:00 (UTC)
1880-02-01 07:00:01;1880-03-01 07:00:00;1880-02;56.9;Y;;Tidsperiod (t.o.m.) = 2019-03-01 06:00:00 (UTC)
1880-03-01 07:00:01;1880-04-01 07:00:00;1880-03;10.9;Y;;Värdet är summerat över = 1 månad
1880-04-01 07:00:01;1880-05-01 07:00:00;1880-04;22.9;Y;;
1880-05-01 07:00:01;1880-06-01 07:00:00;1880-05;32.6;Y;;Kvalitetskoderna:
1880-06-01 07:00:01;1880-07-01 07:00:00;1880-06;23.7;Y;;Grön (G) = Kontrollerade och godkända värden.
1880-07-01 07:00:01;1880-08-01 07:00:00;1880-07;30.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1880-08-01 07:00:01;1880-09-01 07:00:00;1880-08;22.2;Y;;
1880-09-01 07:00:01;1880-10-01 07:00:00;1880-09;18.7;Y;;Orsaker till saknade data:
1880-10-01 07:00:01;1880-11-01 07:00:00;1880-10;90.5;Y;;  stationen eller givaren har varit ur funktion.
1880-11-01 07:00:01;1880-12-01 07:00:00;1880-11;47.3;Y
1880-12-01 07:00:01;1881-01-01 07:00:00;1880-12;45.3;Y
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;50.2;Y
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;45.5;Y
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;78.8;Y
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;26.9;Y
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;23.9;Y
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;48.6;Y
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;37.7;Y
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;42.7;Y
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;79.6;Y
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;51.9;Y
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;26.8;Y
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;19.8;Y
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;13.2;Y
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;9.8;Y
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;19.1;Y
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;16.5;Y
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;27.0;Y
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;52.4;Y
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;94.8;Y
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;48.9;Y
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;11.0;G
1882-10-01 07:00:01;1882-11-01 07:00:00;1882-10;23.2;Y
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;63.2;Y
