Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Roma;78310;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1931-02-01 00:00:00;1991-01-01 23:59:59;32.0;57.5069;18.4539

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1931-01-01 07:00:01;1931-02-01 07:00:00;1931-01;47.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1931-02-01 07:00:01;1931-03-01 07:00:00;1931-02;28.0;G;;Tidsperiod (fr.o.m.) = 1931-02-01 00:00:00 (UTC)
1931-03-01 07:00:01;1931-04-01 07:00:00;1931-03;28.0;G;;Tidsperiod (t.o.m.) = 1991-01-01 23:59:59 (UTC)
1931-04-01 07:00:01;1931-05-01 07:00:00;1931-04;43.0;G;;Värdet är summerat över = 1 månad
1931-05-01 07:00:01;1931-06-01 07:00:00;1931-05;31.0;G;;
1931-06-01 07:00:01;1931-07-01 07:00:00;1931-06;15.0;G;;Kvalitetskoderna:
1931-07-01 07:00:01;1931-08-01 07:00:00;1931-07;79.0;G;;Grön (G) = Kontrollerade och godkända värden.
1931-08-01 07:00:01;1931-09-01 07:00:00;1931-08;34.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1931-09-01 07:00:01;1931-10-01 07:00:00;1931-09;25.0;G;;
1931-10-01 07:00:01;1931-11-01 07:00:00;1931-10;48.0;G;;Orsaker till saknade data:
1931-11-01 07:00:01;1931-12-01 07:00:00;1931-11;28.0;G;;  stationen eller givaren har varit ur funktion.
1931-12-01 07:00:01;1932-01-01 07:00:00;1931-12;64.0;G
1932-01-01 07:00:01;1932-02-01 07:00:00;1932-01;49.0;G
1932-02-01 07:00:01;1932-03-01 07:00:00;1932-02;9.0;G
1932-03-01 07:00:01;1932-04-01 07:00:00;1932-03;26.0;G
1932-04-01 07:00:01;1932-05-01 07:00:00;1932-04;42.0;G
1932-05-01 07:00:01;1932-06-01 07:00:00;1932-05;99.0;G
1932-06-01 07:00:01;1932-07-01 07:00:00;1932-06;14.0;G
1932-07-01 07:00:01;1932-08-01 07:00:00;1932-07;70.0;G
1932-08-01 07:00:01;1932-09-01 07:00:00;1932-08;50.0;G
1932-09-01 07:00:01;1932-10-01 07:00:00;1932-09;43.0;G
1932-10-01 07:00:01;1932-11-01 07:00:00;1932-10;110.0;G
1932-11-01 07:00:01;1932-12-01 07:00:00;1932-11;41.0;G
1932-12-01 07:00:01;1933-01-01 07:00:00;1932-12;21.0;G
1933-01-01 07:00:01;1933-02-01 07:00:00;1933-01;27.0;G
1933-02-01 07:00:01;1933-03-01 07:00:00;1933-02;32.0;G
1933-03-01 07:00:01;1933-04-01 07:00:00;1933-03;19.0;G
1933-04-01 07:00:01;1933-05-01 07:00:00;1933-04;41.0;G
1933-05-01 07:00:01;1933-06-01 07:00:00;1933-05;45.0;G
1933-06-01 07:00:01;1933-07-01 07:00:00;1933-06;14.0;G
1933-07-01 07:00:01;1933-08-01 07:00:00;1933-07;56.0;G
1933-08-01 07:00:01;1933-09-01 07:00:00;1933-08;61.0;G
1933-09-01 07:00:01;1933-10-01 07:00:00;1933-09;35.0;G
1933-10-01 07:00:01;1933-11-01 07:00:00;1933-10;59.0;G
1933-11-01 07:00:01;1933-12-01 07:00:00;1933-11;32.0;G
1933-12-01 07:00:01;1934-01-01 07:00:00;1933-12;20.0;G
1934-01-01 07:00:01;1934-02-01 07:00:00;1934-01;25.0;G
1934-02-01 07:00:01;1934-03-01 07:00:00;1934-02;18.0;G
1934-03-01 07:00:01;1934-04-01 07:00:00;1934-03;38.0;G
1934-04-01 07:00:01;1934-05-01 07:00:00;1934-04;16.0;G
1934-05-01 07:00:01;1934-06-01 07:00:00;1934-05;25.0;G
1934-06-01 07:00:01;1934-07-01 07:00:00;1934-06;99.0;G
1934-07-01 07:00:01;1934-08-01 07:00:00;1934-07;64.0;G
1934-08-01 07:00:01;1934-09-01 07:00:00;1934-08;61.0;G
1934-09-01 07:00:01;1934-10-01 07:00:00;1934-09;59.0;G
1934-10-01 07:00:01;1934-11-01 07:00:00;1934-10;123.0;G
1934-11-01 07:00:01;1934-12-01 07:00:00;1934-11;60.0;G
1934-12-01 07:00:01;1935-01-01 07:00:00;1934-12;31.0;G
1935-01-01 07:00:01;1935-02-01 07:00:00;1935-01;41.0;G
1935-02-01 07:00:01;1935-03-01 07:00:00;1935-02;70.0;G
1935-03-01 07:00:01;1935-04-01 07:00:00;1935-03;29.0;G
1935-04-01 07:00:01;1935-05-01 07:00:00;1935-04;44.0;G
1935-05-01 07:00:01;1935-06-01 07:00:00;1935-05;40.0;G
1935-06-01 07:00:01;1935-07-01 07:00:00;1935-06;89.0;G
1935-07-01 07:00:01;1935-08-01 07:00:00;1935-07;140.0;G
1935-08-01 07:00:01;1935-09-01 07:00:00;1935-08;39.0;G
1935-09-01 07:00:01;1935-10-01 07:00:00;1935-09;113.0;G
1935-10-01 07:00:01;1935-11-01 07:00:00;1935-10;94.0;G
1935-11-01 07:00:01;1935-12-01 07:00:00;1935-11;37.0;G
1935-12-01 07:00:01;1936-01-01 07:00:00;1935-12;72.0;G
1936-01-01 07:00:01;1936-02-01 07:00:00;1936-01;38.0;G
1936-02-01 07:00:01;1936-03-01 07:00:00;1936-02;48.0;G
1936-03-01 07:00:01;1936-04-01 07:00:00;1936-03;33.0;G
1936-04-01 07:00:01;1936-05-01 07:00:00;1936-04;80.0;G
1936-05-01 07:00:01;1936-06-01 07:00:00;1936-05;13.0;G
1936-06-01 07:00:01;1936-07-01 07:00:00;1936-06;15.0;G
1936-07-01 07:00:01;1936-08-01 07:00:00;1936-07;62.0;G
1936-08-01 07:00:01;1936-09-01 07:00:00;1936-08;51.0;G
1936-09-01 07:00:01;1936-10-01 07:00:00;1936-09;65.0;G
1936-10-01 07:00:01;1936-11-01 07:00:00;1936-10;85.0;G
1936-11-01 07:00:01;1936-12-01 07:00:00;1936-11;45.0;G
1936-12-01 07:00:01;1937-01-01 07:00:00;1936-12;29.0;G
1937-01-01 07:00:01;1937-02-01 07:00:00;1937-01;36.0;G
1937-02-01 07:00:01;1937-03-01 07:00:00;1937-02;58.0;G
1937-03-01 07:00:01;1937-04-01 07:00:00;1937-03;30.0;G
1937-04-01 07:00:01;1937-05-01 07:00:00;1937-04;12.0;G
1937-05-01 07:00:01;1937-06-01 07:00:00;1937-05;13.0;G
