Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stenstugu Försöksgård;78360;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1880-12-01 00:00:00;1993-03-01 23:59:59;45.0;57.5979;18.4507

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1880-11-01 07:00:01;1880-12-01 07:00:00;1880-11;55.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1880-12-01 07:00:01;1881-01-01 07:00:00;1880-12;34.0;G;;Tidsperiod (fr.o.m.) = 1880-12-01 00:00:00 (UTC)
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;20.0;G;;Tidsperiod (t.o.m.) = 1993-03-01 23:59:59 (UTC)
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;31.0;G;;Värdet är summerat över = 1 månad
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;27.0;G;;
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;7.0;G;;Kvalitetskoderna:
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;24.0;G;;Grön (G) = Kontrollerade och godkända värden.
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;39.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;17.0;G;;
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;59.0;G;;Orsaker till saknade data:
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;101.0;G;;  stationen eller givaren har varit ur funktion.
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;61.0;G
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;29.0;G
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;18.0;G
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;26.0;G
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;18.0;G
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;13.0;G
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;6.0;G
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;31.0;G
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;86.0;G
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;87.0;G
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;25.0;G
1882-10-01 07:00:01;1882-11-01 07:00:00;1882-10;28.0;G
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;61.0;G
1882-12-01 07:00:01;1883-01-01 07:00:00;1882-12;29.0;G
1883-02-01 07:00:01;1883-03-01 07:00:00;1883-02;11.0;G
1883-03-01 07:00:01;1883-04-01 07:00:00;1883-03;18.0;G
1883-04-01 07:00:01;1883-05-01 07:00:00;1883-04;10.0;G
1883-05-01 07:00:01;1883-06-01 07:00:00;1883-05;32.0;G
1883-07-01 07:00:01;1883-08-01 07:00:00;1883-07;113.0;G
1883-08-01 07:00:01;1883-09-01 07:00:00;1883-08;71.0;G
1883-09-01 07:00:01;1883-10-01 07:00:00;1883-09;50.0;G
1883-10-01 07:00:01;1883-11-01 07:00:00;1883-10;52.0;G
1883-11-01 07:00:01;1883-12-01 07:00:00;1883-11;81.0;G
1883-12-01 07:00:01;1884-01-01 07:00:00;1883-12;26.0;G
1884-01-01 07:00:01;1884-02-01 07:00:00;1884-01;25.0;G
1884-07-01 07:00:01;1884-08-01 07:00:00;1884-07;55.0;G
1954-12-01 06:00:01;1955-01-01 06:00:00;1954-12;52.2;Y
1955-01-01 06:00:01;1955-02-01 06:00:00;1955-01;32.1;Y
1955-02-01 06:00:01;1955-03-01 06:00:00;1955-02;44.7;Y
1955-03-01 06:00:01;1955-04-01 06:00:00;1955-03;20.0;G
1955-04-01 06:00:01;1955-05-01 06:00:00;1955-04;32.1;Y
1955-05-01 06:00:01;1955-06-01 06:00:00;1955-05;41.4;Y
1955-06-01 06:00:01;1955-07-01 06:00:00;1955-06;41.4;Y
1955-07-01 06:00:01;1955-08-01 06:00:00;1955-07;8.8;Y
1955-08-01 06:00:01;1955-09-01 06:00:00;1955-08;5.9;Y
1955-09-01 06:00:01;1955-10-01 06:00:00;1955-09;68.0;G
1955-10-01 06:00:01;1955-11-01 06:00:00;1955-10;69.4;Y
1955-11-01 06:00:01;1955-12-01 06:00:00;1955-11;34.4;Y
1955-12-01 06:00:01;1956-01-01 06:00:00;1955-12;91.9;Y
1956-01-01 06:00:01;1956-02-01 06:00:00;1956-01;65.0;G
1956-02-01 06:00:01;1956-03-01 06:00:00;1956-02;43.6;Y
1956-03-01 06:00:01;1956-04-01 06:00:00;1956-03;8.4;Y
1956-04-01 06:00:01;1956-05-01 06:00:00;1956-04;9.2;Y
1956-05-01 06:00:01;1956-06-01 06:00:00;1956-05;5.0;G
1956-06-01 06:00:01;1956-07-01 06:00:00;1956-06;52.7;Y
1956-07-01 06:00:01;1956-08-01 06:00:00;1956-07;49.5;Y
1956-08-01 06:00:01;1956-09-01 06:00:00;1956-08;57.4;Y
1956-09-01 06:00:01;1956-10-01 06:00:00;1956-09;67.9;Y
1956-10-01 06:00:01;1956-11-01 06:00:00;1956-10;21.2;Y
1956-11-01 06:00:01;1956-12-01 06:00:00;1956-11;31.3;Y
1956-12-01 06:00:01;1957-01-01 06:00:00;1956-12;72.3;Y
1957-01-01 06:00:01;1957-02-01 06:00:00;1957-01;39.9;Y
1957-02-01 06:00:01;1957-03-01 06:00:00;1957-02;55.1;Y
1957-03-01 06:00:01;1957-04-01 06:00:00;1957-03;36.4;Y
1957-04-01 06:00:01;1957-05-01 06:00:00;1957-04;24.4;Y
1957-05-01 06:00:01;1957-06-01 06:00:00;1957-05;23.3;Y
1957-06-01 06:00:01;1957-07-01 06:00:00;1957-06;25.2;Y
1957-07-01 06:00:01;1957-08-01 06:00:00;1957-07;107.7;Y
1957-08-01 06:00:01;1957-09-01 06:00:00;1957-08;117.1;Y
1957-09-01 06:00:01;1957-10-01 06:00:00;1957-09;78.7;Y
1957-10-01 06:00:01;1957-11-01 06:00:00;1957-10;77.9;Y
1957-11-01 06:00:01;1957-12-01 06:00:00;1957-11;18.4;Y
1957-12-01 06:00:01;1958-01-01 06:00:00;1957-12;46.6;Y
1958-01-01 06:00:01;1958-02-01 06:00:00;1958-01;18.9;Y
1958-02-01 06:00:01;1958-03-01 06:00:00;1958-02;62.7;Y
1958-03-01 06:00:01;1958-04-01 06:00:00;1958-03;23.7;Y
1958-04-01 06:00:01;1958-05-01 06:00:00;1958-04;31.9;Y
1958-05-01 06:00:01;1958-06-01 06:00:00;1958-05;58.5;Y
1958-06-01 06:00:01;1958-07-01 06:00:00;1958-06;26.8;Y
1958-07-01 06:00:01;1958-08-01 06:00:00;1958-07;40.3;Y
1958-08-01 06:00:01;1958-09-01 06:00:00;1958-08;57.2;Y
1958-09-01 06:00:01;1958-10-01 06:00:00;1958-09;19.1;Y
1958-10-01 06:00:01;1958-11-01 06:00:00;1958-10;58.2;Y
1958-11-01 06:00:01;1958-12-01 06:00:00;1958-11;34.6;Y
1958-12-01 06:00:01;1959-01-01 06:00:00;1958-12;47.1;Y
1959-01-01 06:00:01;1959-02-01 06:00:00;1959-01;86.7;Y
1959-02-01 06:00:01;1959-03-01 06:00:00;1959-02;10.8;Y
1959-03-01 06:00:01;1959-04-01 06:00:00;1959-03;14.8;Y
1959-04-01 06:00:01;1959-05-01 06:00:00;1959-04;35.9;Y
1959-05-01 06:00:01;1959-06-01 06:00:00;1959-05;3.4;Y
1959-06-01 06:00:01;1959-07-01 06:00:00;1959-06;61.6;Y
1959-07-01 06:00:01;1959-08-01 06:00:00;1959-07;15.0;G
1959-08-01 06:00:01;1959-09-01 06:00:00;1959-08;12.5;Y
1959-09-01 06:00:01;1959-10-01 06:00:00;1959-09;53.2;Y
1959-10-01 06:00:01;1959-11-01 06:00:00;1959-10;28.3;Y
1959-11-01 06:00:01;1959-12-01 06:00:00;1959-11;16.1;Y
1959-12-01 06:00:01;1960-01-01 06:00:00;1959-12;36.3;Y
1960-01-01 06:00:01;1960-02-01 06:00:00;1960-01;53.7;Y
1960-02-01 06:00:01;1960-03-01 06:00:00;1960-02;23.7;Y
1960-03-01 06:00:01;1960-04-01 06:00:00;1960-03;11.7;Y
1960-04-01 06:00:01;1960-05-01 06:00:00;1960-04;18.8;Y
1960-05-01 06:00:01;1960-06-01 06:00:00;1960-05;70.6;Y
1960-06-01 06:00:01;1960-07-01 06:00:00;1960-06;34.8;Y
1960-07-01 06:00:01;1960-08-01 06:00:00;1960-07;96.1;Y
1960-08-01 06:00:01;1960-09-01 06:00:00;1960-08;118.1;Y
1960-09-01 06:00:01;1960-10-01 06:00:00;1960-09;49.9;Y
1960-10-01 06:00:01;1960-11-01 06:00:00;1960-10;67.2;Y
1960-11-01 06:00:01;1960-12-01 06:00:00;1960-11;74.3;Y
1960-12-01 06:00:01;1961-01-01 06:00:00;1960-12;56.1;Y
1961-01-01 06:00:01;1961-02-01 06:00:00;1961-01;66.4;Y
1961-02-01 06:00:01;1961-03-01 06:00:00;1961-02;14.3;Y
1961-03-01 06:00:01;1961-04-01 06:00:00;1961-03;22.7;Y
1961-04-01 06:00:01;1961-05-01 06:00:00;1961-04;12.9;Y
1961-05-01 06:00:01;1961-06-01 06:00:00;1961-05;48.9;Y
1961-06-01 06:00:01;1961-07-01 06:00:00;1961-06;61.6;Y
1961-07-01 06:00:01;1961-08-01 06:00:00;1961-07;49.5;Y
1961-08-01 06:00:01;1961-09-01 06:00:00;1961-08;45.8;Y
1961-09-01 06:00:01;1961-10-01 06:00:00;1961-09;33.5;Y
1961-10-01 06:00:01;1961-11-01 06:00:00;1961-10;34.6;Y
1961-11-01 06:00:01;1961-12-01 06:00:00;1961-11;46.1;Y
1961-12-01 06:00:01;1962-01-01 06:00:00;1961-12;41.1;Y
1962-01-01 06:00:01;1962-02-01 06:00:00;1962-01;79.7;Y
1962-02-01 06:00:01;1962-03-01 06:00:00;1962-02;37.5;Y
1962-03-01 06:00:01;1962-04-01 06:00:00;1962-03;24.9;Y
1962-04-01 06:00:01;1962-05-01 06:00:00;1962-04;54.0;G
1962-05-01 06:00:01;1962-06-01 06:00:00;1962-05;14.9;Y
1962-06-01 06:00:01;1962-07-01 06:00:00;1962-06;38.2;Y
1962-07-01 06:00:01;1962-08-01 06:00:00;1962-07;65.8;Y
1962-08-01 06:00:01;1962-09-01 06:00:00;1962-08;73.9;Y
1962-09-01 06:00:01;1962-10-01 06:00:00;1962-09;102.2;Y
1962-10-01 06:00:01;1962-11-01 06:00:00;1962-10;22.0;G
1962-11-01 06:00:01;1962-12-01 06:00:00;1962-11;41.2;Y
1962-12-01 06:00:01;1963-01-01 06:00:00;1962-12;30.6;Y
1963-01-01 06:00:01;1963-02-01 06:00:00;1963-01;37.1;Y
1963-02-01 06:00:01;1963-03-01 06:00:00;1963-02;20.9;Y
1963-03-01 06:00:01;1963-04-01 06:00:00;1963-03;20.3;Y
1963-04-01 06:00:01;1963-05-01 06:00:00;1963-04;13.9;Y
1963-05-01 06:00:01;1963-06-01 06:00:00;1963-05;6.4;Y
1963-06-01 06:00:01;1963-07-01 06:00:00;1963-06;32.5;Y
1963-07-01 06:00:01;1963-08-01 06:00:00;1963-07;60.1;Y
1963-08-01 06:00:01;1963-09-01 06:00:00;1963-08;115.1;Y
1963-09-01 06:00:01;1963-10-01 06:00:00;1963-09;52.3;Y
1963-10-01 06:00:01;1963-11-01 06:00:00;1963-10;58.9;Y
1963-11-01 06:00:01;1963-12-01 06:00:00;1963-11;61.4;Y
1963-12-01 06:00:01;1964-01-01 06:00:00;1963-12;21.3;Y
1964-01-01 06:00:01;1964-02-01 06:00:00;1964-01;23.8;Y
1964-02-01 06:00:01;1964-03-01 06:00:00;1964-02;13.5;Y
1964-03-01 06:00:01;1964-04-01 06:00:00;1964-03;2.2;Y
1964-04-01 06:00:01;1964-05-01 06:00:00;1964-04;5.9;Y
1964-05-01 06:00:01;1964-06-01 06:00:00;1964-05;18.0;G
1964-06-01 06:00:01;1964-07-01 06:00:00;1964-06;19.6;Y
1964-07-01 06:00:01;1964-08-01 06:00:00;1964-07;56.6;Y
1964-08-01 06:00:01;1964-09-01 06:00:00;1964-08;31.2;Y
1964-09-01 06:00:01;1964-10-01 06:00:00;1964-09;35.6;Y
1964-10-01 06:00:01;1964-11-01 06:00:00;1964-10;79.9;Y
1964-11-01 06:00:01;1964-12-01 06:00:00;1964-11;58.3;Y
1964-12-01 06:00:01;1965-01-01 06:00:00;1964-12;67.2;Y
