Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Visby Flygplats;78400;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1946-02-01 00:00:00;2019-06-01 15:00:00;42.0;57.6614;18.3428

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1946-01-02 07:00:01;1946-02-01 07:00:00;1946-01;20.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1946-01-30 07:00:01;1946-03-01 07:00:00;1946-02;51.0;G;;Tidsperiod (fr.o.m.) = 1946-02-01 00:00:00 (UTC)
1946-03-02 07:00:01;1946-04-01 07:00:00;1946-03;16.0;G;;Tidsperiod (t.o.m.) = 2019-03-01 06:00:00 (UTC)
1946-04-01 07:00:01;1946-05-01 07:00:00;1946-04;12.0;G;;Värdet är summerat över = 1 månad
1946-05-02 07:00:01;1946-06-01 07:00:00;1946-05;37.0;G;;
1946-06-01 07:00:01;1946-07-01 07:00:00;1946-06;48.0;G;;Kvalitetskoderna:
1946-07-02 07:00:01;1946-08-01 07:00:00;1946-07;59.0;G;;Grön (G) = Kontrollerade och godkända värden.
1946-08-02 07:00:01;1946-09-01 07:00:00;1946-08;114.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1946-09-01 07:00:01;1946-10-01 07:00:00;1946-09;89.0;G;;
1946-10-02 07:00:01;1946-11-01 07:00:00;1946-10;29.0;G;;Orsaker till saknade data:
1946-11-01 07:00:01;1946-12-01 07:00:00;1946-11;21.0;G;;  stationen eller givaren har varit ur funktion.
1946-12-02 07:00:01;1947-01-01 07:00:00;1946-12;19.0;G
1947-01-02 06:00:01;1947-02-01 06:00:00;1947-01;28.0;G
1947-01-30 06:00:01;1947-03-01 06:00:00;1947-02;11.0;G
1947-03-02 06:00:01;1947-04-01 06:00:00;1947-03;39.0;G
1947-04-01 06:00:01;1947-05-01 06:00:00;1947-04;35.0;G
1947-05-02 06:00:01;1947-06-01 06:00:00;1947-05;18.0;G
1947-06-01 06:00:01;1947-07-01 06:00:00;1947-06;64.0;G
1947-07-02 06:00:01;1947-08-01 06:00:00;1947-07;50.0;G
1947-08-02 06:00:01;1947-09-01 06:00:00;1947-08;34.0;G
1947-09-01 06:00:01;1947-10-01 06:00:00;1947-09;16.0;G
1947-10-02 06:00:01;1947-11-01 06:00:00;1947-10;17.0;G
1947-11-01 06:00:01;1947-12-01 06:00:00;1947-11;74.0;G
1947-12-02 06:00:01;1948-01-01 06:00:00;1947-12;71.0;G
1948-01-02 06:00:01;1948-02-01 06:00:00;1948-01;67.0;G
1948-01-31 06:00:01;1948-03-01 06:00:00;1948-02;16.0;G
1948-03-02 06:00:01;1948-04-01 06:00:00;1948-03;26.0;G
1948-04-01 06:00:01;1948-05-01 06:00:00;1948-04;19.0;G
1948-05-02 06:00:01;1948-06-01 06:00:00;1948-05;36.0;G
1948-06-01 06:00:01;1948-07-01 06:00:00;1948-06;43.0;G
1948-07-02 06:00:01;1948-08-01 06:00:00;1948-07;11.0;G
1948-08-02 06:00:01;1948-09-01 06:00:00;1948-08;137.0;G
1948-09-01 06:00:01;1948-10-01 06:00:00;1948-09;66.0;G
1948-10-02 06:00:01;1948-11-01 06:00:00;1948-10;26.0;G
1948-11-01 06:00:01;1948-12-01 06:00:00;1948-11;47.0;G
1948-12-02 06:00:01;1949-01-01 06:00:00;1948-12;13.0;G
1949-01-02 06:00:01;1949-02-01 06:00:00;1949-01;40.2;Y
1949-01-30 06:00:01;1949-03-01 06:00:00;1949-02;11.0;G
1949-03-02 06:00:01;1949-04-01 06:00:00;1949-03;19.9;Y
1949-04-01 06:00:01;1949-05-01 06:00:00;1949-04;37.4;Y
