Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Risungs;78490;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1933-02-01 00:00:00;1971-10-31 23:59:59;20.0;57.8166;18.9333

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1933-01-01 07:00:01;1933-02-01 07:00:00;1933-01;25.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1933-02-01 07:00:01;1933-03-01 07:00:00;1933-02;37.0;G;;Tidsperiod (fr.o.m.) = 1933-02-01 00:00:00 (UTC)
1933-03-01 07:00:01;1933-04-01 07:00:00;1933-03;24.0;G;;Tidsperiod (t.o.m.) = 1971-10-31 23:59:59 (UTC)
1933-04-01 07:00:01;1933-05-01 07:00:00;1933-04;48.0;G;;Värdet är summerat över = 1 månad
1933-05-01 07:00:01;1933-06-01 07:00:00;1933-05;37.0;G;;
1933-06-01 07:00:01;1933-07-01 07:00:00;1933-06;26.0;G;;Kvalitetskoderna:
1933-07-01 07:00:01;1933-08-01 07:00:00;1933-07;59.0;G;;Grön (G) = Kontrollerade och godkända värden.
1933-08-01 07:00:01;1933-09-01 07:00:00;1933-08;49.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1933-09-01 07:00:01;1933-10-01 07:00:00;1933-09;76.0;G;;
1933-10-01 07:00:01;1933-11-01 07:00:00;1933-10;69.0;G;;Orsaker till saknade data:
1933-11-01 07:00:01;1933-12-01 07:00:00;1933-11;42.0;G;;  stationen eller givaren har varit ur funktion.
1933-12-01 07:00:01;1934-01-01 07:00:00;1933-12;35.0;G
1934-01-01 07:00:01;1934-02-01 07:00:00;1934-01;18.0;G
1934-02-01 07:00:01;1934-03-01 07:00:00;1934-02;33.0;G
1934-03-01 07:00:01;1934-04-01 07:00:00;1934-03;59.0;G
1934-04-01 07:00:01;1934-05-01 07:00:00;1934-04;14.0;G
