Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Fårö D;79580;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1881-12-01 00:00:00;1996-01-01 23:59:59;8.0;57.8987;19.1592
2017-08-01 00:00:00;2017-09-01 23:59:59;4.0;57.95481;19.2459

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;20.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;21.0;G;;Tidsperiod (fr.o.m.) = 1881-12-01 00:00:00 (UTC)
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;24.0;G;;Tidsperiod (t.o.m.) = 2017-09-01 23:59:59 (UTC)
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;11.0;G;;Värdet är summerat över = 1 månad
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;18.0;G;;
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;20.0;G;;Kvalitetskoderna:
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;14.0;G;;Grön (G) = Kontrollerade och godkända värden.
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;15.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;77.0;G;;
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;44.0;G;;Orsaker till saknade data:
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;23.0;G;;  stationen eller givaren har varit ur funktion.
1882-10-01 07:00:01;1882-11-01 07:00:00;1882-10;32.0;G
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;63.0;G
1882-12-01 07:00:01;1883-01-01 07:00:00;1882-12;22.0;G
1883-01-01 07:00:01;1883-02-01 07:00:00;1883-01;14.0;G
1883-02-01 07:00:01;1883-03-01 07:00:00;1883-02;9.0;G
1883-03-01 07:00:01;1883-04-01 07:00:00;1883-03;14.0;G
1883-04-01 07:00:01;1883-05-01 07:00:00;1883-04;3.0;G
1883-05-01 07:00:01;1883-06-01 07:00:00;1883-05;44.0;G
1883-06-01 07:00:01;1883-07-01 07:00:00;1883-06;67.0;G
1883-07-01 07:00:01;1883-08-01 07:00:00;1883-07;54.0;G
