Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Lufttemperatur,Kvalitet,Latitude,Longitude,,Tidsutsnitt:
01/01/1912 00:00,01/02/1912 00:00,1912-01,-3,G,57.4034,18.5297,,Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
01/02/1912 00:00,01/03/1912 00:00,1912-02,-2.6,G,57.4034,18.5297,,Tidsperiod (fr.o.m.) = 1912-02-01 00:00:00 (UTC)
01/03/1912 00:00,01/04/1912 00:00,1912-03,2.3,G,57.4034,18.5297,,Tidsperiod (t.o.m.) = 1983-08-31 23:59:59 (UTC)
01/04/1912 00:00,01/05/1912 00:00,1912-04,3.3,G,57.4034,18.5297,,Medelvärdet är beräknat för = 1 månad
01/05/1912 00:00,01/06/1912 00:00,1912-05,7.7,G,57.4034,18.5297,,
01/06/1912 00:00,01/07/1912 00:00,1912-06,13.8,G,57.4034,18.5297,,Kvalitetskoderna:
01/07/1912 00:00,01/08/1912 00:00,1912-07,17.6,G,57.4034,18.5297,,Grön (G) = Kontrollerade och godkända värden.
01/08/1912 00:00,01/09/1912 00:00,1912-08,15.8,G,57.4034,18.5297,,Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
01/09/1912 00:00,01/10/1912 00:00,1912-09,9.1,G,57.4034,18.5297,,
01/10/1912 00:00,01/11/1912 00:00,1912-10,5,G,57.4034,18.5297,,Orsaker till saknade data:
01/11/1912 00:00,01/12/1912 00:00,1912-11,2.2,G,57.4034,18.5297,,  stationen eller givaren har varit ur funktion.
01/12/1912 00:00,01/01/1913 00:00,1912-12,2.8,G,57.4034,18.5297,,
01/01/1913 00:00,01/02/1913 00:00,1913-01,-1,G,57.4034,18.5297,,
01/02/1913 00:00,01/03/1913 00:00,1913-02,0.5,G,57.4034,18.5297,,
01/03/1913 00:00,01/04/1913 00:00,1913-03,2.3,G,57.4034,18.5297,,
01/04/1913 00:00,01/05/1913 00:00,1913-04,4.9,G,57.4034,18.5297,,
01/05/1913 00:00,01/06/1913 00:00,1913-05,9.6,G,57.4034,18.5297,,
01/06/1913 00:00,01/07/1913 00:00,1913-06,13.6,G,57.4034,18.5297,,
01/07/1913 00:00,01/08/1913 00:00,1913-07,15.8,G,57.4034,18.5297,,
01/08/1913 00:00,01/09/1913 00:00,1913-08,15,G,57.4034,18.5297,,
01/09/1913 00:00,01/10/1913 00:00,1913-09,12,G,57.4034,18.5297,,
01/10/1913 00:00,01/11/1913 00:00,1913-10,7.1,G,57.4034,18.5297,,
01/11/1913 00:00,01/12/1913 00:00,1913-11,5.3,G,57.4034,18.5297,,
01/12/1913 00:00,01/01/1914 00:00,1913-12,0.1,G,57.4034,18.5297,,
01/01/1914 00:00,01/02/1914 00:00,1914-01,-1.4,G,57.4034,18.5297,,
01/02/1914 00:00,01/03/1914 00:00,1914-02,1.8,G,57.4034,18.5297,,
01/03/1914 00:00,01/04/1914 00:00,1914-03,0.8,G,57.4034,18.5297,,
01/04/1914 00:00,01/05/1914 00:00,1914-04,6.2,G,57.4034,18.5297,,
01/05/1914 00:00,01/06/1914 00:00,1914-05,9.8,G,57.4034,18.5297,,
01/06/1914 00:00,01/07/1914 00:00,1914-06,14.7,G,57.4034,18.5297,,
01/07/1914 00:00,01/08/1914 00:00,1914-07,20.7,G,57.4034,18.5297,,
01/08/1914 00:00,01/09/1914 00:00,1914-08,15.4,G,57.4034,18.5297,,
01/09/1914 00:00,01/10/1914 00:00,1914-09,11.4,G,57.4034,18.5297,,
01/10/1914 00:00,01/11/1914 00:00,1914-10,6.4,G,57.4034,18.5297,,
01/11/1914 00:00,01/12/1914 00:00,1914-11,2.7,G,57.4034,18.5297,,
01/12/1914 00:00,01/01/1915 00:00,1914-12,3.2,G,57.4034,18.5297,,
01/01/1915 00:00,01/02/1915 00:00,1915-01,-2.4,G,57.4034,18.5297,,
01/02/1915 00:00,01/03/1915 00:00,1915-02,-0.5,G,57.4034,18.5297,,
01/03/1915 00:00,01/04/1915 00:00,1915-03,-2.6,G,57.4034,18.5297,,
01/04/1915 00:00,01/05/1915 00:00,1915-04,4,G,57.4034,18.5297,,
01/05/1915 00:00,01/06/1915 00:00,1915-05,7.7,G,57.4034,18.5297,,
01/06/1915 00:00,01/07/1915 00:00,1915-06,12.6,G,57.4034,18.5297,,
01/07/1915 00:00,01/08/1915 00:00,1915-07,16.3,G,57.4034,18.5297,,
01/08/1915 00:00,01/09/1915 00:00,1915-08,14.8,G,57.4034,18.5297,,
01/09/1915 00:00,01/10/1915 00:00,1915-09,11.1,G,57.4034,18.5297,,
01/10/1915 00:00,01/11/1915 00:00,1915-10,4.7,G,57.4034,18.5297,,
01/11/1915 00:00,01/12/1915 00:00,1915-11,1.8,G,57.4034,18.5297,,
01/12/1915 00:00,01/01/1916 00:00,1915-12,-2.3,G,57.4034,18.5297,,
01/01/1916 00:00,01/02/1916 00:00,1916-01,-0.5,G,57.4034,18.5297,,
01/02/1916 00:00,01/03/1916 00:00,1916-02,-0.9,G,57.4034,18.5297,,
01/03/1916 00:00,01/04/1916 00:00,1916-03,-0.3,G,57.4034,18.5297,,
01/04/1916 00:00,01/05/1916 00:00,1916-04,5.4,G,57.4034,18.5297,,
01/05/1916 00:00,01/06/1916 00:00,1916-05,8.2,G,57.4034,18.5297,,
01/06/1916 00:00,01/07/1916 00:00,1916-06,11.6,G,57.4034,18.5297,,
01/07/1916 00:00,01/08/1916 00:00,1916-07,16,G,57.4034,18.5297,,
01/08/1916 00:00,01/09/1916 00:00,1916-08,13.5,G,57.4034,18.5297,,
01/09/1916 00:00,01/10/1916 00:00,1916-09,9.9,G,57.4034,18.5297,,
01/10/1916 00:00,01/11/1916 00:00,1916-10,6.4,G,57.4034,18.5297,,
01/11/1916 00:00,01/12/1916 00:00,1916-11,4.5,G,57.4034,18.5297,,
01/12/1916 00:00,01/01/1917 00:00,1916-12,0.9,G,57.4034,18.5297,,
01/01/1917 00:00,01/02/1917 00:00,1917-01,-3.6,G,57.4034,18.5297,,
01/02/1917 00:00,01/03/1917 00:00,1917-02,-4.8,G,57.4034,18.5297,,
01/03/1917 00:00,01/04/1917 00:00,1917-03,-4.8,G,57.4034,18.5297,,
01/04/1917 00:00,01/05/1917 00:00,1917-04,1.7,G,57.4034,18.5297,,
01/05/1917 00:00,01/06/1917 00:00,1917-05,7.7,G,57.4034,18.5297,,
01/06/1917 00:00,01/07/1917 00:00,1917-06,16.5,G,57.4034,18.5297,,
01/07/1917 00:00,01/08/1917 00:00,1917-07,15.2,G,57.4034,18.5297,,
01/08/1917 00:00,01/09/1917 00:00,1917-08,16.5,G,57.4034,18.5297,,
01/09/1917 00:00,01/10/1917 00:00,1917-09,11.9,G,57.4034,18.5297,,
01/10/1917 00:00,01/11/1917 00:00,1917-10,7.3,G,57.4034,18.5297,,
01/11/1917 00:00,01/12/1917 00:00,1917-11,3.4,G,57.4034,18.5297,,
01/12/1917 00:00,01/01/1918 00:00,1917-12,-2,G,57.4034,18.5297,,
01/01/1918 00:00,01/02/1918 00:00,1918-01,-4.3,G,57.4034,18.5297,,
01/02/1918 00:00,01/03/1918 00:00,1918-02,-1.7,G,57.4034,18.5297,,
01/03/1918 00:00,01/04/1918 00:00,1918-03,-0.6,G,57.4034,18.5297,,
01/04/1918 00:00,01/05/1918 00:00,1918-04,5.4,G,57.4034,18.5297,,
01/05/1918 00:00,01/06/1918 00:00,1918-05,8.7,G,57.4034,18.5297,,
01/06/1918 00:00,01/07/1918 00:00,1918-06,11.4,G,57.4034,18.5297,,
01/07/1918 00:00,01/08/1918 00:00,1918-07,16.4,G,57.4034,18.5297,,
01/08/1918 00:00,01/09/1918 00:00,1918-08,14.6,G,57.4034,18.5297,,
01/09/1918 00:00,01/10/1918 00:00,1918-09,11.4,G,57.4034,18.5297,,
01/10/1918 00:00,01/11/1918 00:00,1918-10,8.3,G,57.4034,18.5297,,
01/11/1918 00:00,01/12/1918 00:00,1918-11,3.6,G,57.4034,18.5297,,
01/12/1918 00:00,01/01/1919 00:00,1918-12,-0.1,G,57.4034,18.5297,,
01/01/1919 00:00,01/02/1919 00:00,1919-01,-0.5,G,57.4034,18.5297,,
01/02/1919 00:00,01/03/1919 00:00,1919-02,-2.6,G,57.4034,18.5297,,
01/03/1919 00:00,01/04/1919 00:00,1919-03,-1.1,G,57.4034,18.5297,,
01/04/1919 00:00,01/05/1919 00:00,1919-04,4.2,G,57.4034,18.5297,,
01/05/1919 00:00,01/06/1919 00:00,1919-05,8,G,57.4034,18.5297,,
01/06/1919 00:00,01/07/1919 00:00,1919-06,12.3,G,57.4034,18.5297,,
01/07/1919 00:00,01/08/1919 00:00,1919-07,15.9,G,57.4034,18.5297,,
01/08/1919 00:00,01/09/1919 00:00,1919-08,13.7,G,57.4034,18.5297,,
01/09/1919 00:00,01/10/1919 00:00,1919-09,13.1,G,57.4034,18.5297,,
01/10/1919 00:00,01/11/1919 00:00,1919-10,5.4,G,57.4034,18.5297,,
01/11/1919 00:00,01/12/1919 00:00,1919-11,-2.2,G,57.4034,18.5297,,
01/12/1919 00:00,01/01/1920 00:00,1919-12,-2.4,G,57.4034,18.5297,,
01/01/1920 00:00,01/02/1920 00:00,1920-01,-2.5,G,57.4034,18.5297,,
01/02/1920 00:00,01/03/1920 00:00,1920-02,0.4,G,57.4034,18.5297,,
01/03/1920 00:00,01/04/1920 00:00,1920-03,2.9,G,57.4034,18.5297,,
01/04/1920 00:00,01/05/1920 00:00,1920-04,6,G,57.4034,18.5297,,
01/05/1920 00:00,01/06/1920 00:00,1920-05,10.3,G,57.4034,18.5297,,
01/06/1920 00:00,01/07/1920 00:00,1920-06,12.3,G,57.4034,18.5297,,
01/07/1920 00:00,01/08/1920 00:00,1920-07,17.4,G,57.4034,18.5297,,
01/08/1920 00:00,01/09/1920 00:00,1920-08,14.4,G,57.4034,18.5297,,
01/09/1920 00:00,01/10/1920 00:00,1920-09,11.4,G,57.4034,18.5297,,
01/10/1920 00:00,01/11/1920 00:00,1920-10,5.2,G,57.4034,18.5297,,
01/11/1920 00:00,01/12/1920 00:00,1920-11,4,G,57.4034,18.5297,,
01/12/1920 00:00,01/01/1921 00:00,1920-12,0.1,G,57.4034,18.5297,,
01/01/1921 00:00,01/02/1921 00:00,1921-01,-0.2,G,57.4034,18.5297,,
01/02/1921 00:00,01/03/1921 00:00,1921-02,-1.5,G,57.4034,18.5297,,
01/03/1921 00:00,01/04/1921 00:00,1921-03,3.6,G,57.4034,18.5297,,
01/04/1921 00:00,01/05/1921 00:00,1921-04,6.3,G,57.4034,18.5297,,
01/05/1921 00:00,01/06/1921 00:00,1921-05,11.1,G,57.4034,18.5297,,
01/06/1921 00:00,01/07/1921 00:00,1921-06,12.6,G,57.4034,18.5297,,
01/07/1921 00:00,01/08/1921 00:00,1921-07,15.3,G,57.4034,18.5297,,
01/08/1921 00:00,01/09/1921 00:00,1921-08,15.1,G,57.4034,18.5297,,
01/09/1921 00:00,01/10/1921 00:00,1921-09,10.6,G,57.4034,18.5297,,
01/10/1921 00:00,01/11/1921 00:00,1921-10,7.2,G,57.4034,18.5297,,
01/11/1921 00:00,01/12/1921 00:00,1921-11,0,G,57.4034,18.5297,,
01/12/1921 00:00,01/01/1922 00:00,1921-12,-0.2,G,57.4034,18.5297,,
01/01/1922 00:00,01/02/1922 00:00,1922-01,-4.7,G,57.4034,18.5297,,
01/02/1922 00:00,01/03/1922 00:00,1922-02,-3.1,G,57.4034,18.5297,,
01/03/1922 00:00,01/04/1922 00:00,1922-03,-0.2,G,57.4034,18.5297,,
01/04/1922 00:00,01/05/1922 00:00,1922-04,2.9,G,57.4034,18.5297,,
01/05/1922 00:00,01/06/1922 00:00,1922-05,9.9,G,57.4034,18.5297,,
01/06/1922 00:00,01/07/1922 00:00,1922-06,13.6,G,57.4034,18.5297,,
01/07/1922 00:00,01/08/1922 00:00,1922-07,15.5,G,57.4034,18.5297,,
01/08/1922 00:00,01/09/1922 00:00,1922-08,13.6,G,57.4034,18.5297,,
01/09/1922 00:00,01/10/1922 00:00,1922-09,9.6,G,57.4034,18.5297,,
01/10/1922 00:00,01/11/1922 00:00,1922-10,3.8,G,57.4034,18.5297,,
01/11/1922 00:00,01/12/1922 00:00,1922-11,0.9,G,57.4034,18.5297,,
01/12/1922 00:00,01/01/1923 00:00,1922-12,0.4,G,57.4034,18.5297,,
01/01/1923 00:00,01/02/1923 00:00,1923-01,0,G,57.4034,18.5297,,
01/02/1923 00:00,01/03/1923 00:00,1923-02,-4.1,G,57.4034,18.5297,,
01/03/1923 00:00,01/04/1923 00:00,1923-03,0.5,G,57.4034,18.5297,,
01/04/1923 00:00,01/05/1923 00:00,1923-04,1.5,G,57.4034,18.5297,,
01/05/1923 00:00,01/06/1923 00:00,1923-05,8,G,57.4034,18.5297,,
01/06/1923 00:00,01/07/1923 00:00,1923-06,10.7,G,57.4034,18.5297,,
01/07/1923 00:00,01/08/1923 00:00,1923-07,16.6,G,57.4034,18.5297,,
01/08/1923 00:00,01/09/1923 00:00,1923-08,13.8,G,57.4034,18.5297,,
01/09/1923 00:00,01/10/1923 00:00,1923-09,11.5,G,57.4034,18.5297,,
