Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Lufttemperatur,Kvalitet,Latitude,Longitude,,Tidsutsnitt:
01/08/1995 00:00,01/09/1995 00:00,1995-08,17.6,Y,57.916537,18.953317,,Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
01/11/1995 00:00,01/12/1995 00:00,1995-11,3.5,Y,57.916537,18.953317,,Tidsperiod (fr.o.m.) = 1995-09-01 00:00:00 (UTC)
01/12/1995 00:00,01/01/1996 00:00,1995-12,-0.6,G,57.916537,18.953317,,Tidsperiod (t.o.m.) = 2019-03-01 06:00:00 (UTC)
01/01/1996 00:00,01/02/1996 00:00,1996-01,-0.9,Y,57.916537,18.953317,,Medelvärdet är beräknat för = 1 månad
01/02/1996 00:00,01/03/1996 00:00,1996-02,-3.2,Y,57.916537,18.953317,,
01/03/1996 00:00,01/04/1996 00:00,1996-03,-0.6,Y,57.916537,18.953317,,Kvalitetskoderna:
01/04/1996 00:00,01/05/1996 00:00,1996-04,4.9,Y,57.916537,18.953317,,Grön (G) = Kontrollerade och godkända värden.
01/05/1996 00:00,01/06/1996 00:00,1996-05,5.9,Y,57.916537,18.953317,,Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
01/06/1996 00:00,01/07/1996 00:00,1996-06,13.1,Y,57.916537,18.953317,,
01/07/1996 00:00,01/08/1996 00:00,1996-07,15.2,Y,57.916537,18.953317,,Orsaker till saknade data:
01/08/1996 00:00,01/09/1996 00:00,1996-08,18.3,Y,57.916537,18.953317,,  stationen eller givaren har varit ur funktion.
01/09/1996 00:00,01/10/1996 00:00,1996-09,11.1,Y,57.916537,18.953317,,
01/10/1996 00:00,01/11/1996 00:00,1996-10,9.4,Y,57.916537,18.953317,,
01/11/1996 00:00,01/12/1996 00:00,1996-11,5.5,Y,57.916537,18.953317,,
01/12/1996 00:00,01/01/1997 00:00,1996-12,0.1,Y,57.916537,18.953317,,
01/01/1997 00:00,01/02/1997 00:00,1997-01,0.6,Y,57.916537,18.953317,,
01/02/1997 00:00,01/03/1997 00:00,1997-02,1.5,Y,57.916537,18.953317,,
01/03/1997 00:00,01/04/1997 00:00,1997-03,2.6,Y,57.916537,18.953317,,
01/04/1997 00:00,01/05/1997 00:00,1997-04,3.3,Y,57.916537,18.953317,,
01/05/1997 00:00,01/06/1997 00:00,1997-05,7.8,Y,57.916537,18.953317,,
01/06/1997 00:00,01/07/1997 00:00,1997-06,14.5,Y,57.916537,18.953317,,
01/07/1997 00:00,01/08/1997 00:00,1997-07,17.6,Y,57.916537,18.953317,,
01/08/1997 00:00,01/09/1997 00:00,1997-08,20.7,Y,57.916537,18.953317,,
01/09/1997 00:00,01/10/1997 00:00,1997-09,14,Y,57.916537,18.953317,,
01/10/1997 00:00,01/11/1997 00:00,1997-10,7.1,Y,57.916537,18.953317,,
01/11/1997 00:00,01/12/1997 00:00,1997-11,4.2,Y,57.916537,18.953317,,
01/12/1997 00:00,01/01/1998 00:00,1997-12,1.6,Y,57.916537,18.953317,,
01/01/1998 00:00,01/02/1998 00:00,1998-01,2.3,Y,57.916537,18.953317,,
01/02/1998 00:00,01/03/1998 00:00,1998-02,2.7,Y,57.916537,18.953317,,
01/03/1998 00:00,01/04/1998 00:00,1998-03,0.9,Y,57.916537,18.953317,,
01/04/1998 00:00,01/05/1998 00:00,1998-04,4,Y,57.916537,18.953317,,
