Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Lufttemperatur,Kvalitet,Latitude,Longitude,,Tidsutsnitt:
01/07/1968 00:00,01/08/1968 00:00,1968-07,15.2,Y,57.4208,18.9174,,Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
01/08/1968 00:00,01/09/1968 00:00,1968-08,17,Y,57.4208,18.9174,,Tidsperiod (fr.o.m.) = 1968-08-01 00:00:00 (UTC)
01/09/1968 00:00,01/10/1968 00:00,1968-09,14,Y,57.4208,18.9174,,Tidsperiod (t.o.m.) = 1996-01-01 23:59:59 (UTC)
01/10/1968 00:00,01/11/1968 00:00,1968-10,7.9,Y,57.4208,18.9174,,Medelvärdet är beräknat för = 1 månad
01/11/1968 00:00,01/12/1968 00:00,1968-11,4.4,Y,57.4208,18.9174,,
01/12/1968 00:00,01/01/1969 00:00,1968-12,1,Y,57.4208,18.9174,,Kvalitetskoderna:
01/01/1969 00:00,01/02/1969 00:00,1969-01,-1.3,Y,57.4208,18.9174,,Grön (G) = Kontrollerade och godkända värden.
01/02/1969 00:00,01/03/1969 00:00,1969-02,-3.1,Y,57.4208,18.9174,,Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
01/03/1969 00:00,01/04/1969 00:00,1969-03,-2.7,Y,57.4208,18.9174,,
01/04/1969 00:00,01/05/1969 00:00,1969-04,3.5,Y,57.4208,18.9174,,Orsaker till saknade data:
01/05/1969 00:00,01/06/1969 00:00,1969-05,6.7,Y,57.4208,18.9174,,  stationen eller givaren har varit ur funktion.
01/06/1969 00:00,01/07/1969 00:00,1969-06,14.2,Y,57.4208,18.9174,,
01/07/1969 00:00,01/08/1969 00:00,1969-07,17.7,Y,57.4208,18.9174,,
01/08/1969 00:00,01/09/1969 00:00,1969-08,17.6,Y,57.4208,18.9174,,
01/09/1969 00:00,01/10/1969 00:00,1969-09,12.7,Y,57.4208,18.9174,,
01/10/1969 00:00,01/11/1969 00:00,1969-10,8.4,Y,57.4208,18.9174,,
01/11/1969 00:00,01/12/1969 00:00,1969-11,3.9,Y,57.4208,18.9174,,
01/12/1969 00:00,01/01/1970 00:00,1969-12,-1.7,Y,57.4208,18.9174,,
01/01/1970 00:00,01/02/1970 00:00,1970-01,-3.3,Y,57.4208,18.9174,,
01/02/1970 00:00,01/03/1970 00:00,1970-02,-5.9,Y,57.4208,18.9174,,
01/03/1970 00:00,01/04/1970 00:00,1970-03,-0.7,Y,57.4208,18.9174,,
01/04/1970 00:00,01/05/1970 00:00,1970-04,2.3,Y,57.4208,18.9174,,
01/05/1970 00:00,01/06/1970 00:00,1970-05,7.2,Y,57.4208,18.9174,,
01/06/1970 00:00,01/07/1970 00:00,1970-06,13.7,Y,57.4208,18.9174,,
01/07/1970 00:00,01/08/1970 00:00,1970-07,14.9,Y,57.4208,18.9174,,
01/08/1970 00:00,01/09/1970 00:00,1970-08,15.9,Y,57.4208,18.9174,,
01/09/1970 00:00,01/10/1970 00:00,1970-09,12.2,Y,57.4208,18.9174,,
01/10/1970 00:00,01/11/1970 00:00,1970-10,7.8,Y,57.4208,18.9174,,
01/11/1970 00:00,01/12/1970 00:00,1970-11,3.2,Y,57.4208,18.9174,,
01/12/1970 00:00,01/01/1971 00:00,1970-12,1.3,Y,57.4208,18.9174,,
01/01/1971 00:00,01/02/1971 00:00,1971-01,0.4,Y,57.4208,18.9174,,
01/02/1971 00:00,01/03/1971 00:00,1971-02,-0.2,Y,57.4208,18.9174,,
01/03/1971 00:00,01/04/1971 00:00,1971-03,-1.3,Y,57.4208,18.9174,,
01/04/1971 00:00,01/05/1971 00:00,1971-04,3.3,Y,57.4208,18.9174,,
01/05/1971 00:00,01/06/1971 00:00,1971-05,9.2,Y,57.4208,18.9174,,
01/06/1971 00:00,01/07/1971 00:00,1971-06,12.7,Y,57.4208,18.9174,,
01/07/1971 00:00,01/08/1971 00:00,1971-07,15.8,Y,57.4208,18.9174,,
01/08/1971 00:00,01/09/1971 00:00,1971-08,16.2,Y,57.4208,18.9174,,
01/09/1971 00:00,01/10/1971 00:00,1971-09,11.7,Y,57.4208,18.9174,,
01/10/1971 00:00,01/11/1971 00:00,1971-10,8.7,Y,57.4208,18.9174,,
01/11/1971 00:00,01/12/1971 00:00,1971-11,2.8,Y,57.4208,18.9174,,
01/12/1971 00:00,01/01/1972 00:00,1971-12,2.9,Y,57.4208,18.9174,,
01/01/1972 00:00,01/02/1972 00:00,1972-01,-2.1,Y,57.4208,18.9174,,
01/02/1972 00:00,01/03/1972 00:00,1972-02,-0.1,Y,57.4208,18.9174,,
