Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Lufttemperatur,Kvalitet,Latitude,Longitude,,Tidsutsnitt:
01/02/1986 00:00,01/03/1986 00:00,1986-02,-5.7,Y,57.0735,18.2222,,Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
01/03/1986 00:00,01/04/1986 00:00,1986-03,0.3,Y,57.0735,18.2222,,Tidsperiod (fr.o.m.) = 1986-03-01 00:00:00 (UTC)
01/09/1986 00:00,01/10/1986 00:00,1986-09,9.9,Y,57.0735,18.2222,,Tidsperiod (t.o.m.) = 1999-02-28 23:59:59 (UTC)
01/10/1986 00:00,01/11/1986 00:00,1986-10,8.3,Y,57.0735,18.2222,,Medelvärdet är beräknat för = 1 månad
01/11/1986 00:00,01/12/1986 00:00,1986-11,5.7,Y,57.0735,18.2222,,
01/12/1986 00:00,01/01/1987 00:00,1986-12,0.8,Y,57.0735,18.2222,,Kvalitetskoderna:
01/01/1987 00:00,01/02/1987 00:00,1987-01,-6.4,Y,57.0735,18.2222,,Grön (G) = Kontrollerade och godkända värden.
01/06/1987 00:00,01/07/1987 00:00,1987-06,10.7,Y,57.0735,18.2222,,Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
01/07/1987 00:00,01/08/1987 00:00,1987-07,14.2,Y,57.0735,18.2222,,
01/08/1987 00:00,01/09/1987 00:00,1987-08,12.9,Y,57.0735,18.2222,,Orsaker till saknade data:
01/09/1987 00:00,01/10/1987 00:00,1987-09,10.9,Y,57.0735,18.2222,,  stationen eller givaren har varit ur funktion.
01/10/1987 00:00,01/11/1987 00:00,1987-10,9,Y,57.0735,18.2222,,
01/02/1988 00:00,01/03/1988 00:00,1988-02,0.5,G,57.0735,18.2222,,
01/05/1988 00:00,01/06/1988 00:00,1988-05,10.4,Y,57.0735,18.2222,,
01/07/1988 00:00,01/08/1988 00:00,1988-07,16.6,G,57.0735,18.2222,,
01/08/1988 00:00,01/09/1988 00:00,1988-08,15,G,57.0735,18.2222,,
01/09/1988 00:00,01/10/1988 00:00,1988-09,13.5,G,57.0735,18.2222,,
01/10/1988 00:00,01/11/1988 00:00,1988-10,7.1,G,57.0735,18.2222,,
01/12/1988 00:00,01/01/1989 00:00,1988-12,0.9,Y,57.0735,18.2222,,
01/01/1989 00:00,01/02/1989 00:00,1989-01,3.4,G,57.0735,18.2222,,
01/02/1989 00:00,01/03/1989 00:00,1989-02,3.2,G,57.0735,18.2222,,
01/03/1989 00:00,01/04/1989 00:00,1989-03,3.4,G,57.0735,18.2222,,
01/04/1989 00:00,01/05/1989 00:00,1989-04,4.6,G,57.0735,18.2222,,
01/05/1989 00:00,01/06/1989 00:00,1989-05,10.7,G,57.0735,18.2222,,
01/06/1989 00:00,01/07/1989 00:00,1989-06,13.6,G,57.0735,18.2222,,
01/07/1989 00:00,01/08/1989 00:00,1989-07,16.8,Y,57.0735,18.2222,,
01/08/1989 00:00,01/09/1989 00:00,1989-08,15.1,Y,57.0735,18.2222,,
01/09/1989 00:00,01/10/1989 00:00,1989-09,13.4,Y,57.0735,18.2222,,
01/10/1989 00:00,01/11/1989 00:00,1989-10,9.4,Y,57.0735,18.2222,,
01/11/1989 00:00,01/12/1989 00:00,1989-11,4.5,Y,57.0735,18.2222,,
01/12/1989 00:00,01/01/1990 00:00,1989-12,1.5,Y,57.0735,18.2222,,
01/01/1990 00:00,01/02/1990 00:00,1990-01,2.7,Y,57.0735,18.2222,,
01/02/1990 00:00,01/03/1990 00:00,1990-02,4.6,Y,57.0735,18.2222,,
01/03/1990 00:00,01/04/1990 00:00,1990-03,4.6,Y,57.0735,18.2222,,
01/04/1990 00:00,01/05/1990 00:00,1990-04,6.9,Y,57.0735,18.2222,,
01/05/1990 00:00,01/06/1990 00:00,1990-05,10.3,G,57.0735,18.2222,,
01/06/1990 00:00,01/07/1990 00:00,1990-06,14.2,G,57.0735,18.2222,,
01/07/1990 00:00,01/08/1990 00:00,1990-07,14.8,Y,57.0735,18.2222,,
01/08/1990 00:00,01/09/1990 00:00,1990-08,16.7,Y,57.0735,18.2222,,
01/09/1990 00:00,01/10/1990 00:00,1990-09,11.6,Y,57.0735,18.2222,,
01/10/1990 00:00,01/11/1990 00:00,1990-10,8.7,Y,57.0735,18.2222,,
01/11/1990 00:00,01/12/1990 00:00,1990-11,4.7,Y,57.0735,18.2222,,
01/12/1990 00:00,01/01/1991 00:00,1990-12,2.2,G,57.0735,18.2222,,
01/01/1991 00:00,01/02/1991 00:00,1991-01,1,G,57.0735,18.2222,,
01/02/1991 00:00,01/03/1991 00:00,1991-02,-1.6,Y,57.0735,18.2222,,
01/03/1992 00:00,01/04/1992 00:00,1992-03,1.7,G,57.0735,18.2222,,
01/04/1992 00:00,01/05/1992 00:00,1992-04,3.7,Y,57.0735,18.2222,,
01/05/1992 00:00,01/06/1992 00:00,1992-05,11.2,Y,57.0735,18.2222,,
01/06/1992 00:00,01/07/1992 00:00,1992-06,15.6,Y,57.0735,18.2222,,
01/07/1992 00:00,01/08/1992 00:00,1992-07,16.7,Y,57.0735,18.2222,,
01/08/1992 00:00,01/09/1992 00:00,1992-08,15.8,Y,57.0735,18.2222,,
01/09/1992 00:00,01/10/1992 00:00,1992-09,12.4,G,57.0735,18.2222,,
01/10/1992 00:00,01/11/1992 00:00,1992-10,5.9,Y,57.0735,18.2222,,
01/11/1992 00:00,01/12/1992 00:00,1992-11,4.1,Y,57.0735,18.2222,,
01/12/1992 00:00,01/01/1993 00:00,1992-12,2.9,Y,57.0735,18.2222,,
01/01/1993 00:00,01/02/1993 00:00,1993-01,1.7,Y,57.0735,18.2222,,
01/02/1993 00:00,01/03/1993 00:00,1993-02,0.5,G,57.0735,18.2222,,
01/03/1993 00:00,01/04/1993 00:00,1993-03,1.7,G,57.0735,18.2222,,
01/04/1994 00:00,01/05/1994 00:00,1994-04,5.7,G,57.0735,18.2222,,
01/07/1994 00:00,01/08/1994 00:00,1994-07,19.1,G,57.0735,18.2222,,
01/08/1994 00:00,01/09/1994 00:00,1994-08,17.6,G,57.0735,18.2222,,
01/09/1994 00:00,01/10/1994 00:00,1994-09,12.9,Y,57.0735,18.2222,,
01/10/1994 00:00,01/11/1994 00:00,1994-10,7.7,Y,57.0735,18.2222,,
01/11/1994 00:00,01/12/1994 00:00,1994-11,5.1,Y,57.0735,18.2222,,
01/12/1994 00:00,01/01/1995 00:00,1994-12,3.4,Y,57.0735,18.2222,,
01/01/1995 00:00,01/02/1995 00:00,1995-01,0.4,Y,57.0735,18.2222,,
01/02/1995 00:00,01/03/1995 00:00,1995-02,2.3,Y,57.0735,18.2222,,
01/03/1995 00:00,01/04/1995 00:00,1995-03,2,Y,57.0735,18.2222,,
01/04/1995 00:00,01/05/1995 00:00,1995-04,4.3,Y,57.0735,18.2222,,
01/05/1995 00:00,01/06/1995 00:00,1995-05,7.9,Y,57.0735,18.2222,,
01/06/1995 00:00,01/07/1995 00:00,1995-06,13.7,Y,57.0735,18.2222,,
01/07/1995 00:00,01/08/1995 00:00,1995-07,16,Y,57.0735,18.2222,,
01/08/1995 00:00,01/09/1995 00:00,1995-08,17.5,Y,57.0735,18.2222,,
01/09/1995 00:00,01/10/1995 00:00,1995-09,13.1,Y,57.0735,18.2222,,
