Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Lufttemperatur,Kvalitet,Latitude,Longitude,,Tidsutsnitt:
01/01/1918 00:00,01/02/1918 00:00,1918-01,-3.7,G,57.5069,18.4539,,Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
01/02/1918 00:00,01/03/1918 00:00,1918-02,-1.9,G,57.5069,18.4539,,Tidsperiod (fr.o.m.) = 1918-02-01 00:00:00 (UTC)
01/03/1918 00:00,01/04/1918 00:00,1918-03,-0.9,G,57.5069,18.4539,,Tidsperiod (t.o.m.) = 1974-06-30 23:59:59 (UTC)
01/04/1918 00:00,01/05/1918 00:00,1918-04,5.5,G,57.5069,18.4539,,Medelvärdet är beräknat för = 1 månad
01/05/1918 00:00,01/06/1918 00:00,1918-05,9.2,G,57.5069,18.4539,,
01/06/1918 00:00,01/07/1918 00:00,1918-06,11.9,G,57.5069,18.4539,,Kvalitetskoderna:
01/07/1918 00:00,01/08/1918 00:00,1918-07,16.5,G,57.5069,18.4539,,Grön (G) = Kontrollerade och godkända värden.
01/08/1918 00:00,01/09/1918 00:00,1918-08,15.2,G,57.5069,18.4539,,Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
01/09/1918 00:00,01/10/1918 00:00,1918-09,11.2,G,57.5069,18.4539,,
01/10/1918 00:00,01/11/1918 00:00,1918-10,8.1,G,57.5069,18.4539,,Orsaker till saknade data:
01/11/1918 00:00,01/12/1918 00:00,1918-11,3.9,G,57.5069,18.4539,,  stationen eller givaren har varit ur funktion.
01/12/1918 00:00,01/01/1919 00:00,1918-12,-0.1,G,57.5069,18.4539,,
01/01/1919 00:00,01/02/1919 00:00,1919-01,-0.3,G,57.5069,18.4539,,
01/02/1919 00:00,01/03/1919 00:00,1919-02,-2.4,G,57.5069,18.4539,,
01/03/1919 00:00,01/04/1919 00:00,1919-03,-0.6,G,57.5069,18.4539,,
01/04/1919 00:00,01/05/1919 00:00,1919-04,4.3,G,57.5069,18.4539,,
01/05/1919 00:00,01/06/1919 00:00,1919-05,9.3,G,57.5069,18.4539,,
01/06/1919 00:00,01/07/1919 00:00,1919-06,13.5,G,57.5069,18.4539,,
01/07/1919 00:00,01/08/1919 00:00,1919-07,16.8,G,57.5069,18.4539,,
01/08/1919 00:00,01/09/1919 00:00,1919-08,13.8,G,57.5069,18.4539,,
01/09/1919 00:00,01/10/1919 00:00,1919-09,12.8,G,57.5069,18.4539,,
01/10/1919 00:00,01/11/1919 00:00,1919-10,5.2,G,57.5069,18.4539,,
01/03/1920 00:00,01/04/1920 00:00,1920-03,3.2,G,57.5069,18.4539,,
01/04/1920 00:00,01/05/1920 00:00,1920-04,6.3,G,57.5069,18.4539,,
01/05/1920 00:00,01/06/1920 00:00,1920-05,10.4,G,57.5069,18.4539,,
01/06/1920 00:00,01/07/1920 00:00,1920-06,13,G,57.5069,18.4539,,
01/07/1920 00:00,01/08/1920 00:00,1920-07,17.6,G,57.5069,18.4539,,
01/08/1920 00:00,01/09/1920 00:00,1920-08,15.2,G,57.5069,18.4539,,
01/09/1920 00:00,01/10/1920 00:00,1920-09,11.8,G,57.5069,18.4539,,
01/12/1920 00:00,01/01/1921 00:00,1920-12,-0.7,G,57.5069,18.4539,,
01/01/1921 00:00,01/02/1921 00:00,1921-01,0.2,G,57.5069,18.4539,,
01/02/1921 00:00,01/03/1921 00:00,1921-02,-1.2,G,57.5069,18.4539,,
01/03/1921 00:00,01/04/1921 00:00,1921-03,3.7,G,57.5069,18.4539,,
01/04/1921 00:00,01/05/1921 00:00,1921-04,6.3,G,57.5069,18.4539,,
