Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Lufttemperatur,Kvalitet,Latitude,Longitude,,Tidsutsnitt:
01/04/1996 00:00,01/05/1996 00:00,1996-04,5.7,Y,57.54361,18.42533,,Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
01/05/1996 00:00,01/06/1996 00:00,1996-05,8.1,Y,57.54361,18.42533,,Tidsperiod (fr.o.m.) = 1996-05-01 00:00:00 (UTC)
01/06/1996 00:00,01/07/1996 00:00,1996-06,13.7,Y,57.54361,18.42533,,Tidsperiod (t.o.m.) = 2015-12-31 23:59:59 (UTC)
01/08/1996 00:00,01/09/1996 00:00,1996-08,17.6,Y,57.54361,18.42533,,Medelvärdet är beräknat för = 1 månad
01/09/1996 00:00,01/10/1996 00:00,1996-09,10,Y,57.54361,18.42533,,
01/10/1996 00:00,01/11/1996 00:00,1996-10,8.6,Y,57.54361,18.42533,,Kvalitetskoderna:
01/11/1996 00:00,01/12/1996 00:00,1996-11,4.6,Y,57.54361,18.42533,,Grön (G) = Kontrollerade och godkända värden.
01/12/1996 00:00,01/01/1997 00:00,1996-12,-1.7,Y,57.54361,18.42533,,Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
01/01/1997 00:00,01/02/1997 00:00,1997-01,-0.7,Y,57.54361,18.42533,,
01/02/1997 00:00,01/03/1997 00:00,1997-02,1.1,Y,57.54361,18.42533,,Orsaker till saknade data:
01/03/1997 00:00,01/04/1997 00:00,1997-03,2.1,Y,57.54361,18.42533,,  stationen eller givaren har varit ur funktion.
01/04/1997 00:00,01/05/1997 00:00,1997-04,3.3,Y,57.54361,18.42533,,
01/05/1997 00:00,01/06/1997 00:00,1997-05,8.9,Y,57.54361,18.42533,,
01/06/1997 00:00,01/07/1997 00:00,1997-06,15.4,Y,57.54361,18.42533,,
01/07/1997 00:00,01/08/1997 00:00,1997-07,18,Y,57.54361,18.42533,,
01/08/1997 00:00,01/09/1997 00:00,1997-08,20.1,Y,57.54361,18.42533,,
01/11/1997 00:00,01/12/1997 00:00,1997-11,3.3,Y,57.54361,18.42533,,
01/12/1997 00:00,01/01/1998 00:00,1997-12,0.9,Y,57.54361,18.42533,,
01/01/1998 00:00,01/02/1998 00:00,1998-01,1.6,Y,57.54361,18.42533,,
01/02/1998 00:00,01/03/1998 00:00,1998-02,2.2,Y,57.54361,18.42533,,
01/03/1998 00:00,01/04/1998 00:00,1998-03,0.2,Y,57.54361,18.42533,,
01/04/1998 00:00,01/05/1998 00:00,1998-04,4.8,Y,57.54361,18.42533,,
01/05/1998 00:00,01/06/1998 00:00,1998-05,10.2,Y,57.54361,18.42533,,
01/06/1998 00:00,01/07/1998 00:00,1998-06,13.3,Y,57.54361,18.42533,,
01/07/1998 00:00,01/08/1998 00:00,1998-07,15.2,Y,57.54361,18.42533,,
01/08/1998 00:00,01/09/1998 00:00,1998-08,14.4,Y,57.54361,18.42533,,
01/09/1998 00:00,01/10/1998 00:00,1998-09,12.7,Y,57.54361,18.42533,,
01/10/1998 00:00,01/11/1998 00:00,1998-10,7.3,Y,57.54361,18.42533,,
01/11/1998 00:00,01/12/1998 00:00,1998-11,0.2,Y,57.54361,18.42533,,
01/12/1998 00:00,01/01/1999 00:00,1998-12,0.3,Y,57.54361,18.42533,,
01/01/1999 00:00,01/02/1999 00:00,1999-01,0.1,Y,57.54361,18.42533,,
01/02/1999 00:00,01/03/1999 00:00,1999-02,-1.5,Y,57.54361,18.42533,,
01/03/1999 00:00,01/04/1999 00:00,1999-03,2.2,Y,57.54361,18.42533,,
01/04/1999 00:00,01/05/1999 00:00,1999-04,6.9,Y,57.54361,18.42533,,
01/06/1999 00:00,01/07/1999 00:00,1999-06,15.5,Y,57.54361,18.42533,,
01/07/1999 00:00,01/08/1999 00:00,1999-07,18.7,Y,57.54361,18.42533,,
01/08/1999 00:00,01/09/1999 00:00,1999-08,16.2,Y,57.54361,18.42533,,
01/09/1999 00:00,01/10/1999 00:00,1999-09,15.3,Y,57.54361,18.42533,,
01/10/1999 00:00,01/11/1999 00:00,1999-10,8.7,Y,57.54361,18.42533,,
01/11/1999 00:00,01/12/1999 00:00,1999-11,4.3,Y,57.54361,18.42533,,
