Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Lufttemperatur,Kvalitet,Latitude,Longitude,,Tidsutsnitt:
01/01/1956 00:00,01/02/1956 00:00,1956-01,-1.7,G,57.5979,18.4507,,Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
01/02/1956 00:00,01/03/1956 00:00,1956-02,-6.6,G,57.5979,18.4507,,Tidsperiod (fr.o.m.) = 1956-02-01 00:00:00 (UTC)
01/03/1956 00:00,01/04/1956 00:00,1956-03,-1.6,G,57.5979,18.4507,,Tidsperiod (t.o.m.) = 1974-04-30 23:59:59 (UTC)
01/04/1956 00:00,01/05/1956 00:00,1956-04,1.6,G,57.5979,18.4507,,Medelvärdet är beräknat för = 1 månad
01/05/1956 00:00,01/06/1956 00:00,1956-05,10.3,G,57.5979,18.4507,,
01/06/1956 00:00,01/07/1956 00:00,1956-06,14.2,G,57.5979,18.4507,,Kvalitetskoderna:
01/07/1956 00:00,01/08/1956 00:00,1956-07,15.4,G,57.5979,18.4507,,Grön (G) = Kontrollerade och godkända värden.
01/08/1956 00:00,01/09/1956 00:00,1956-08,13.5,G,57.5979,18.4507,,Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
01/09/1956 00:00,01/10/1956 00:00,1956-09,10.8,G,57.5979,18.4507,,
01/10/1956 00:00,01/11/1956 00:00,1956-10,6.8,G,57.5979,18.4507,,Orsaker till saknade data:
01/11/1956 00:00,01/12/1956 00:00,1956-11,0.2,G,57.5979,18.4507,,  stationen eller givaren har varit ur funktion.
01/12/1956 00:00,01/01/1957 00:00,1956-12,1.3,G,57.5979,18.4507,,
01/01/1957 00:00,01/02/1957 00:00,1957-01,0.7,G,57.5979,18.4507,,
01/02/1957 00:00,01/03/1957 00:00,1957-02,0.5,G,57.5979,18.4507,,
01/03/1957 00:00,01/04/1957 00:00,1957-03,-0.6,G,57.5979,18.4507,,
01/04/1957 00:00,01/05/1957 00:00,1957-04,3.3,G,57.5979,18.4507,,
01/05/1957 00:00,01/06/1957 00:00,1957-05,8.1,G,57.5979,18.4507,,
01/06/1957 00:00,01/07/1957 00:00,1957-06,13.5,G,57.5979,18.4507,,
01/07/1957 00:00,01/08/1957 00:00,1957-07,17.4,G,57.5979,18.4507,,
