Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Lufttemperatur,Kvalitet,Latitude,Longitude,,Tidsutsnitt:
01/01/1946 00:00,01/02/1946 00:00,1946-01,-0.5,G,57.6614,18.3428,,Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
01/02/1946 00:00,01/03/1946 00:00,1946-02,-2,G,57.6614,18.3428,,Tidsperiod (fr.o.m.) = 1946-02-01 00:00:00 (UTC)
01/03/1946 00:00,01/04/1946 00:00,1946-03,-0.5,G,57.6614,18.3428,,Tidsperiod (t.o.m.) = 2019-03-01 06:00:00 (UTC)
01/04/1946 00:00,01/05/1946 00:00,1946-04,6.1,G,57.6614,18.3428,,Medelvärdet är beräknat för = 1 månad
01/05/1946 00:00,01/06/1946 00:00,1946-05,9.3,G,57.6614,18.3428,,
01/06/1946 00:00,01/07/1946 00:00,1946-06,13.6,G,57.6614,18.3428,,Kvalitetskoderna:
01/07/1946 00:00,01/08/1946 00:00,1946-07,17.7,G,57.6614,18.3428,,Grön (G) = Kontrollerade och godkända värden.
01/08/1946 00:00,01/09/1946 00:00,1946-08,15.7,G,57.6614,18.3428,,Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
01/09/1946 00:00,01/10/1946 00:00,1946-09,13.3,G,57.6614,18.3428,,
01/10/1946 00:00,01/11/1946 00:00,1946-10,6.1,G,57.6614,18.3428,,Orsaker till saknade data:
01/11/1946 00:00,01/12/1946 00:00,1946-11,3.5,G,57.6614,18.3428,,  stationen eller givaren har varit ur funktion.
01/12/1946 00:00,01/01/1947 00:00,1946-12,0.2,G,57.6614,18.3428,,
01/01/1947 00:00,01/02/1947 00:00,1947-01,-4.1,G,57.6614,18.3428,,
01/02/1947 00:00,01/03/1947 00:00,1947-02,-9,G,57.6614,18.3428,,
01/03/1947 00:00,01/04/1947 00:00,1947-03,-4.1,G,57.6614,18.3428,,
01/04/1947 00:00,01/05/1947 00:00,1947-04,4.4,G,57.6614,18.3428,,
01/05/1947 00:00,01/06/1947 00:00,1947-05,10.6,G,57.6614,18.3428,,
01/06/1947 00:00,01/07/1947 00:00,1947-06,15.4,G,57.6614,18.3428,,
01/07/1947 00:00,01/08/1947 00:00,1947-07,17.9,G,57.6614,18.3428,,
01/08/1947 00:00,01/09/1947 00:00,1947-08,17,G,57.6614,18.3428,,
01/09/1947 00:00,01/10/1947 00:00,1947-09,14.8,G,57.6614,18.3428,,
01/10/1947 00:00,01/11/1947 00:00,1947-10,7.9,G,57.6614,18.3428,,
01/11/1947 00:00,01/12/1947 00:00,1947-11,2.8,G,57.6614,18.3428,,
01/12/1947 00:00,01/01/1948 00:00,1947-12,0.6,G,57.6614,18.3428,,
01/01/1948 00:00,01/02/1948 00:00,1948-01,-1.3,G,57.6614,18.3428,,
01/02/1948 00:00,01/03/1948 00:00,1948-02,-2.8,G,57.6614,18.3428,,
01/03/1948 00:00,01/04/1948 00:00,1948-03,1.7,G,57.6614,18.3428,,
01/04/1948 00:00,01/05/1948 00:00,1948-04,6.2,G,57.6614,18.3428,,
01/05/1948 00:00,01/06/1948 00:00,1948-05,9.8,G,57.6614,18.3428,,
01/06/1948 00:00,01/07/1948 00:00,1948-06,14,G,57.6614,18.3428,,
