Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hemse;78140;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1901-03-01 00:00:00;1980-06-30 23:59:59;25.0;57.2438;18.3835
1980-11-01 00:00:00;2019-05-31 23:59:59;22.072;57.243655;18.378776

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1901-02-01 00:00:01;1901-03-01 00:00:00;1901-02;-3.8;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1901-03-01 00:00:01;1901-04-01 00:00:00;1901-03;-0.6;G;;Tidsperiod (fr.o.m.) = 1901-03-01 00:00:00 (UTC)
1901-04-01 00:00:01;1901-05-01 00:00:00;1901-04;4.5;G;;Tidsperiod (t.o.m.) = 2019-03-01 06:00:00 (UTC)
1901-05-01 00:00:01;1901-06-01 00:00:00;1901-05;10.0;G;;Medelvärdet är beräknat för = 1 månad
1901-06-01 00:00:01;1901-07-01 00:00:00;1901-06;14.0;G;;
1901-08-01 00:00:01;1901-09-01 00:00:00;1901-08;17.5;G;;Kvalitetskoderna:
1901-09-01 00:00:01;1901-10-01 00:00:00;1901-09;12.8;G;;Grön (G) = Kontrollerade och godkända värden.
1901-10-01 00:00:01;1901-11-01 00:00:00;1901-10;9.8;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1902-01-01 00:00:01;1902-02-01 00:00:00;1902-01;1.1;G;;
1902-02-01 00:00:01;1902-03-01 00:00:00;1902-02;-3.5;G;;Orsaker till saknade data:
1902-04-01 00:00:01;1902-05-01 00:00:00;1902-04;1.1;G;;  stationen eller givaren har varit ur funktion.
1902-05-01 00:00:01;1902-06-01 00:00:00;1902-05;6.0;G
1902-06-01 00:00:01;1902-07-01 00:00:00;1902-06;10.8;G
1902-09-01 00:00:01;1902-10-01 00:00:00;1902-09;11.0;G
1902-10-01 00:00:01;1902-11-01 00:00:00;1902-10;6.4;G
1902-11-01 00:00:01;1902-12-01 00:00:00;1902-11;1.2;G
1903-03-01 00:00:01;1903-04-01 00:00:00;1903-03;3.4;G
1903-05-01 00:00:01;1903-06-01 00:00:00;1903-05;9.3;G
1903-06-01 00:00:01;1903-07-01 00:00:00;1903-06;12.5;G
1903-08-01 00:00:01;1903-09-01 00:00:00;1903-08;14.3;G
1903-11-01 00:00:01;1903-12-01 00:00:00;1903-11;2.5;G
1904-02-01 00:00:01;1904-03-01 00:00:00;1904-02;-1.8;G
1904-03-01 00:00:01;1904-04-01 00:00:00;1904-03;-0.7;G
1904-05-01 00:00:01;1904-06-01 00:00:00;1904-05;6.3;G
