Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Buttle;78240;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1962-07-01 00:00:00;1983-08-31 23:59:59;45.0;57.4034;18.5297
1912-02-01 00:00:00;1941-01-31 23:59:59;45.0;57.4;18.5

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1912-01-01 00:00:01;1912-02-01 00:00:00;1912-01;-3.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1912-02-01 00:00:01;1912-03-01 00:00:00;1912-02;-2.6;G;;Tidsperiod (fr.o.m.) = 1912-02-01 00:00:00 (UTC)
1912-03-01 00:00:01;1912-04-01 00:00:00;1912-03;2.3;G;;Tidsperiod (t.o.m.) = 1983-08-31 23:59:59 (UTC)
1912-04-01 00:00:01;1912-05-01 00:00:00;1912-04;3.3;G;;Medelvärdet är beräknat för = 1 månad
1912-05-01 00:00:01;1912-06-01 00:00:00;1912-05;7.7;G;;
1912-06-01 00:00:01;1912-07-01 00:00:00;1912-06;13.8;G;;Kvalitetskoderna:
1912-07-01 00:00:01;1912-08-01 00:00:00;1912-07;17.6;G;;Grön (G) = Kontrollerade och godkända värden.
1912-08-01 00:00:01;1912-09-01 00:00:00;1912-08;15.8;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1912-09-01 00:00:01;1912-10-01 00:00:00;1912-09;9.1;G;;
1912-10-01 00:00:01;1912-11-01 00:00:00;1912-10;5.0;G;;Orsaker till saknade data:
1912-11-01 00:00:01;1912-12-01 00:00:00;1912-11;2.2;G;;  stationen eller givaren har varit ur funktion.
1912-12-01 00:00:01;1913-01-01 00:00:00;1912-12;2.8;G
1913-01-01 00:00:01;1913-02-01 00:00:00;1913-01;-1.0;G
1913-02-01 00:00:01;1913-03-01 00:00:00;1913-02;0.5;G
1913-03-01 00:00:01;1913-04-01 00:00:00;1913-03;2.3;G
1913-04-01 00:00:01;1913-05-01 00:00:00;1913-04;4.9;G
1913-05-01 00:00:01;1913-06-01 00:00:00;1913-05;9.6;G
1913-06-01 00:00:01;1913-07-01 00:00:00;1913-06;13.6;G
1913-07-01 00:00:01;1913-08-01 00:00:00;1913-07;15.8;G
1913-08-01 00:00:01;1913-09-01 00:00:00;1913-08;15.0;G
1913-09-01 00:00:01;1913-10-01 00:00:00;1913-09;12.0;G
1913-10-01 00:00:01;1913-11-01 00:00:00;1913-10;7.1;G
1913-11-01 00:00:01;1913-12-01 00:00:00;1913-11;5.3;G
1913-12-01 00:00:01;1914-01-01 00:00:00;1913-12;0.1;G
1914-01-01 00:00:01;1914-02-01 00:00:00;1914-01;-1.4;G
1914-02-01 00:00:01;1914-03-01 00:00:00;1914-02;1.8;G
1914-03-01 00:00:01;1914-04-01 00:00:00;1914-03;0.8;G
1914-04-01 00:00:01;1914-05-01 00:00:00;1914-04;6.2;G
1914-05-01 00:00:01;1914-06-01 00:00:00;1914-05;9.8;G
1914-06-01 00:00:01;1914-07-01 00:00:00;1914-06;14.7;G
1914-07-01 00:00:01;1914-08-01 00:00:00;1914-07;20.7;G
1914-08-01 00:00:01;1914-09-01 00:00:00;1914-08;15.4;G
1914-09-01 00:00:01;1914-10-01 00:00:00;1914-09;11.4;G
1914-10-01 00:00:01;1914-11-01 00:00:00;1914-10;6.4;G
1914-11-01 00:00:01;1914-12-01 00:00:00;1914-11;2.7;G
1914-12-01 00:00:01;1915-01-01 00:00:00;1914-12;3.2;G
1915-01-01 00:00:01;1915-02-01 00:00:00;1915-01;-2.4;G
1915-02-01 00:00:01;1915-03-01 00:00:00;1915-02;-0.5;G
1915-03-01 00:00:01;1915-04-01 00:00:00;1915-03;-2.6;G
1915-04-01 00:00:01;1915-05-01 00:00:00;1915-04;4.0;G
1915-05-01 00:00:01;1915-06-01 00:00:00;1915-05;7.7;G
1915-06-01 00:00:01;1915-07-01 00:00:00;1915-06;12.6;G
1915-07-01 00:00:01;1915-08-01 00:00:00;1915-07;16.3;G
1915-08-01 00:00:01;1915-09-01 00:00:00;1915-08;14.8;G
1915-09-01 00:00:01;1915-10-01 00:00:00;1915-09;11.1;G
1915-10-01 00:00:01;1915-11-01 00:00:00;1915-10;4.7;G
1915-11-01 00:00:01;1915-12-01 00:00:00;1915-11;1.8;G
1915-12-01 00:00:01;1916-01-01 00:00:00;1915-12;-2.3;G
1916-01-01 00:00:01;1916-02-01 00:00:00;1916-01;-0.5;G
1916-02-01 00:00:01;1916-03-01 00:00:00;1916-02;-0.9;G
1916-03-01 00:00:01;1916-04-01 00:00:00;1916-03;-0.3;G
1916-04-01 00:00:01;1916-05-01 00:00:00;1916-04;5.4;G
1916-05-01 00:00:01;1916-06-01 00:00:00;1916-05;8.2;G
1916-06-01 00:00:01;1916-07-01 00:00:00;1916-06;11.6;G
1916-07-01 00:00:01;1916-08-01 00:00:00;1916-07;16.0;G
1916-08-01 00:00:01;1916-09-01 00:00:00;1916-08;13.5;G
1916-09-01 00:00:01;1916-10-01 00:00:00;1916-09;9.9;G
1916-10-01 00:00:01;1916-11-01 00:00:00;1916-10;6.4;G
1916-11-01 00:00:01;1916-12-01 00:00:00;1916-11;4.5;G
1916-12-01 00:00:01;1917-01-01 00:00:00;1916-12;0.9;G
1917-01-01 00:00:01;1917-02-01 00:00:00;1917-01;-3.6;G
1917-02-01 00:00:01;1917-03-01 00:00:00;1917-02;-4.8;G
1917-03-01 00:00:01;1917-04-01 00:00:00;1917-03;-4.8;G
1917-04-01 00:00:01;1917-05-01 00:00:00;1917-04;1.7;G
1917-05-01 00:00:01;1917-06-01 00:00:00;1917-05;7.7;G
1917-06-01 00:00:01;1917-07-01 00:00:00;1917-06;16.5;G
1917-07-01 00:00:01;1917-08-01 00:00:00;1917-07;15.2;G
1917-08-01 00:00:01;1917-09-01 00:00:00;1917-08;16.5;G
1917-09-01 00:00:01;1917-10-01 00:00:00;1917-09;11.9;G
1917-10-01 00:00:01;1917-11-01 00:00:00;1917-10;7.3;G
1917-11-01 00:00:01;1917-12-01 00:00:00;1917-11;3.4;G
1917-12-01 00:00:01;1918-01-01 00:00:00;1917-12;-2.0;G
1918-01-01 00:00:01;1918-02-01 00:00:00;1918-01;-4.3;G
1918-02-01 00:00:01;1918-03-01 00:00:00;1918-02;-1.7;G
1918-03-01 00:00:01;1918-04-01 00:00:00;1918-03;-0.6;G
1918-04-01 00:00:01;1918-05-01 00:00:00;1918-04;5.4;G
1918-05-01 00:00:01;1918-06-01 00:00:00;1918-05;8.7;G
1918-06-01 00:00:01;1918-07-01 00:00:00;1918-06;11.4;G
1918-07-01 00:00:01;1918-08-01 00:00:00;1918-07;16.4;G
1918-08-01 00:00:01;1918-09-01 00:00:00;1918-08;14.6;G
1918-09-01 00:00:01;1918-10-01 00:00:00;1918-09;11.4;G
1918-10-01 00:00:01;1918-11-01 00:00:00;1918-10;8.3;G
1918-11-01 00:00:01;1918-12-01 00:00:00;1918-11;3.6;G
1918-12-01 00:00:01;1919-01-01 00:00:00;1918-12;-0.1;G
1919-01-01 00:00:01;1919-02-01 00:00:00;1919-01;-0.5;G
1919-02-01 00:00:01;1919-03-01 00:00:00;1919-02;-2.6;G
1919-03-01 00:00:01;1919-04-01 00:00:00;1919-03;-1.1;G
1919-04-01 00:00:01;1919-05-01 00:00:00;1919-04;4.2;G
1919-05-01 00:00:01;1919-06-01 00:00:00;1919-05;8.0;G
1919-06-01 00:00:01;1919-07-01 00:00:00;1919-06;12.3;G
1919-07-01 00:00:01;1919-08-01 00:00:00;1919-07;15.9;G
1919-08-01 00:00:01;1919-09-01 00:00:00;1919-08;13.7;G
1919-09-01 00:00:01;1919-10-01 00:00:00;1919-09;13.1;G
1919-10-01 00:00:01;1919-11-01 00:00:00;1919-10;5.4;G
1919-11-01 00:00:01;1919-12-01 00:00:00;1919-11;-2.2;G
1919-12-01 00:00:01;1920-01-01 00:00:00;1919-12;-2.4;G
1920-01-01 00:00:01;1920-02-01 00:00:00;1920-01;-2.5;G
1920-02-01 00:00:01;1920-03-01 00:00:00;1920-02;0.4;G
1920-03-01 00:00:01;1920-04-01 00:00:00;1920-03;2.9;G
1920-04-01 00:00:01;1920-05-01 00:00:00;1920-04;6.0;G
1920-05-01 00:00:01;1920-06-01 00:00:00;1920-05;10.3;G
1920-06-01 00:00:01;1920-07-01 00:00:00;1920-06;12.3;G
1920-07-01 00:00:01;1920-08-01 00:00:00;1920-07;17.4;G
1920-08-01 00:00:01;1920-09-01 00:00:00;1920-08;14.4;G
1920-09-01 00:00:01;1920-10-01 00:00:00;1920-09;11.4;G
1920-10-01 00:00:01;1920-11-01 00:00:00;1920-10;5.2;G
1920-11-01 00:00:01;1920-12-01 00:00:00;1920-11;4.0;G
1920-12-01 00:00:01;1921-01-01 00:00:00;1920-12;0.1;G
1921-01-01 00:00:01;1921-02-01 00:00:00;1921-01;-0.2;G
1921-02-01 00:00:01;1921-03-01 00:00:00;1921-02;-1.5;G
1921-03-01 00:00:01;1921-04-01 00:00:00;1921-03;3.6;G
1921-04-01 00:00:01;1921-05-01 00:00:00;1921-04;6.3;G
1921-05-01 00:00:01;1921-06-01 00:00:00;1921-05;11.1;G
1921-06-01 00:00:01;1921-07-01 00:00:00;1921-06;12.6;G
1921-07-01 00:00:01;1921-08-01 00:00:00;1921-07;15.3;G
1921-08-01 00:00:01;1921-09-01 00:00:00;1921-08;15.1;G
