Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Roma;78310;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1918-02-01 00:00:00;1974-06-30 23:59:59;32.0;57.5069;18.4539

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1918-01-01 00:00:01;1918-02-01 00:00:00;1918-01;-3.7;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1918-02-01 00:00:01;1918-03-01 00:00:00;1918-02;-1.9;G;;Tidsperiod (fr.o.m.) = 1918-02-01 00:00:00 (UTC)
1918-03-01 00:00:01;1918-04-01 00:00:00;1918-03;-0.9;G;;Tidsperiod (t.o.m.) = 1974-06-30 23:59:59 (UTC)
1918-04-01 00:00:01;1918-05-01 00:00:00;1918-04;5.5;G;;Medelvärdet är beräknat för = 1 månad
1918-05-01 00:00:01;1918-06-01 00:00:00;1918-05;9.2;G;;
1918-06-01 00:00:01;1918-07-01 00:00:00;1918-06;11.9;G;;Kvalitetskoderna:
1918-07-01 00:00:01;1918-08-01 00:00:00;1918-07;16.5;G;;Grön (G) = Kontrollerade och godkända värden.
1918-08-01 00:00:01;1918-09-01 00:00:00;1918-08;15.2;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1918-09-01 00:00:01;1918-10-01 00:00:00;1918-09;11.2;G;;
1918-10-01 00:00:01;1918-11-01 00:00:00;1918-10;8.1;G;;Orsaker till saknade data:
1918-11-01 00:00:01;1918-12-01 00:00:00;1918-11;3.9;G;;  stationen eller givaren har varit ur funktion.
1918-12-01 00:00:01;1919-01-01 00:00:00;1918-12;-0.1;G
1919-01-01 00:00:01;1919-02-01 00:00:00;1919-01;-0.3;G
1919-02-01 00:00:01;1919-03-01 00:00:00;1919-02;-2.4;G
1919-03-01 00:00:01;1919-04-01 00:00:00;1919-03;-0.6;G
1919-04-01 00:00:01;1919-05-01 00:00:00;1919-04;4.3;G
1919-05-01 00:00:01;1919-06-01 00:00:00;1919-05;9.3;G
1919-06-01 00:00:01;1919-07-01 00:00:00;1919-06;13.5;G
1919-07-01 00:00:01;1919-08-01 00:00:00;1919-07;16.8;G
1919-08-01 00:00:01;1919-09-01 00:00:00;1919-08;13.8;G
1919-09-01 00:00:01;1919-10-01 00:00:00;1919-09;12.8;G
1919-10-01 00:00:01;1919-11-01 00:00:00;1919-10;5.2;G
1920-03-01 00:00:01;1920-04-01 00:00:00;1920-03;3.2;G
1920-04-01 00:00:01;1920-05-01 00:00:00;1920-04;6.3;G
1920-05-01 00:00:01;1920-06-01 00:00:00;1920-05;10.4;G
1920-06-01 00:00:01;1920-07-01 00:00:00;1920-06;13.0;G
1920-07-01 00:00:01;1920-08-01 00:00:00;1920-07;17.6;G
1920-08-01 00:00:01;1920-09-01 00:00:00;1920-08;15.2;G
1920-09-01 00:00:01;1920-10-01 00:00:00;1920-09;11.8;G
1920-12-01 00:00:01;1921-01-01 00:00:00;1920-12;-0.7;G
1921-01-01 00:00:01;1921-02-01 00:00:00;1921-01;0.2;G
1921-02-01 00:00:01;1921-03-01 00:00:00;1921-02;-1.2;G
1921-03-01 00:00:01;1921-04-01 00:00:00;1921-03;3.7;G
1921-04-01 00:00:01;1921-05-01 00:00:00;1921-04;6.3;G
1921-05-01 00:00:01;1921-06-01 00:00:00;1921-05;12.4;G
1921-06-01 00:00:01;1921-07-01 00:00:00;1921-06;13.9;G
1921-07-01 00:00:01;1921-08-01 00:00:00;1921-07;16.5;G
1921-08-01 00:00:01;1921-09-01 00:00:00;1921-08;15.8;G
1921-09-01 00:00:01;1921-10-01 00:00:00;1921-09;11.9;G
1921-10-01 00:00:01;1921-11-01 00:00:00;1921-10;8.2;G
1921-11-01 00:00:01;1921-12-01 00:00:00;1921-11;0.6;G
1921-12-01 00:00:01;1922-01-01 00:00:00;1921-12;0.7;G
1922-01-01 00:00:01;1922-02-01 00:00:00;1922-01;-4.2;G
1922-02-01 00:00:01;1922-03-01 00:00:00;1922-02;-3.0;G
1922-03-01 00:00:01;1922-04-01 00:00:00;1922-03;-0.1;G
1922-04-01 00:00:01;1922-05-01 00:00:00;1922-04;3.0;G
1922-05-01 00:00:01;1922-06-01 00:00:00;1922-05;10.4;G
1922-06-01 00:00:01;1922-07-01 00:00:00;1922-06;14.1;G
1922-07-01 00:00:01;1922-08-01 00:00:00;1922-07;16.0;G
1922-08-01 00:00:01;1922-09-01 00:00:00;1922-08;14.2;G
1922-09-01 00:00:01;1922-10-01 00:00:00;1922-09;10.5;G
1922-10-01 00:00:01;1922-11-01 00:00:00;1922-10;4.2;G
