Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stenstugu Försöksgård;78360;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1956-02-01 00:00:00;1974-04-30 23:59:59;45.0;57.5979;18.4507

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1956-01-01 00:00:01;1956-02-01 00:00:00;1956-01;-1.7;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1956-02-01 00:00:01;1956-03-01 00:00:00;1956-02;-6.6;G;;Tidsperiod (fr.o.m.) = 1956-02-01 00:00:00 (UTC)
1956-03-01 00:00:01;1956-04-01 00:00:00;1956-03;-1.6;G;;Tidsperiod (t.o.m.) = 1974-04-30 23:59:59 (UTC)
1956-04-01 00:00:01;1956-05-01 00:00:00;1956-04;1.6;G;;Medelvärdet är beräknat för = 1 månad
1956-05-01 00:00:01;1956-06-01 00:00:00;1956-05;10.3;G;;
1956-06-01 00:00:01;1956-07-01 00:00:00;1956-06;14.2;G;;Kvalitetskoderna:
1956-07-01 00:00:01;1956-08-01 00:00:00;1956-07;15.4;G;;Grön (G) = Kontrollerade och godkända värden.
1956-08-01 00:00:01;1956-09-01 00:00:00;1956-08;13.5;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1956-09-01 00:00:01;1956-10-01 00:00:00;1956-09;10.8;G;;
1956-10-01 00:00:01;1956-11-01 00:00:00;1956-10;6.8;G;;Orsaker till saknade data:
1956-11-01 00:00:01;1956-12-01 00:00:00;1956-11;0.2;G;;  stationen eller givaren har varit ur funktion.
1956-12-01 00:00:01;1957-01-01 00:00:00;1956-12;1.3;G
1957-01-01 00:00:01;1957-02-01 00:00:00;1957-01;0.7;G
1957-02-01 00:00:01;1957-03-01 00:00:00;1957-02;0.5;G
1957-03-01 00:00:01;1957-04-01 00:00:00;1957-03;-0.6;G
1957-04-01 00:00:01;1957-05-01 00:00:00;1957-04;3.3;G
1957-05-01 00:00:01;1957-06-01 00:00:00;1957-05;8.1;G
1957-06-01 00:00:01;1957-07-01 00:00:00;1957-06;13.5;G
1957-07-01 00:00:01;1957-08-01 00:00:00;1957-07;17.4;G
1957-08-01 00:00:01;1957-09-01 00:00:00;1957-08;15.3;G
1957-09-01 00:00:01;1957-10-01 00:00:00;1957-09;10.1;G
1957-10-01 00:00:01;1957-11-01 00:00:00;1957-10;7.9;G
1957-11-01 00:00:01;1957-12-01 00:00:00;1957-11;4.1;G
1957-12-01 00:00:01;1958-01-01 00:00:00;1957-12;0.7;G
1958-01-01 00:00:01;1958-02-01 00:00:00;1958-01;-1.8;G
1958-02-01 00:00:01;1958-03-01 00:00:00;1958-02;-3.9;G
1958-03-01 00:00:01;1958-04-01 00:00:00;1958-03;-3.5;G
1958-04-01 00:00:01;1958-05-01 00:00:00;1958-04;2.0;G
1958-05-01 00:00:01;1958-06-01 00:00:00;1958-05;9.4;G
1958-06-01 00:00:01;1958-07-01 00:00:00;1958-06;13.0;G
1958-07-01 00:00:01;1958-08-01 00:00:00;1958-07;15.9;G
1958-08-01 00:00:01;1958-09-01 00:00:00;1958-08;14.7;G
1958-09-01 00:00:01;1958-10-01 00:00:00;1958-09;12.1;G
1958-10-01 00:00:01;1958-11-01 00:00:00;1958-10;8.7;G
1958-11-01 00:00:01;1958-12-01 00:00:00;1958-11;4.9;G
1958-12-01 00:00:01;1959-01-01 00:00:00;1958-12;0.8;G
1959-01-01 00:00:01;1959-02-01 00:00:00;1959-01;-1.3;G
1959-02-01 00:00:01;1959-03-01 00:00:00;1959-02;0.2;G
1959-03-01 00:00:01;1959-04-01 00:00:00;1959-03;2.2;G
1959-04-01 00:00:01;1959-05-01 00:00:00;1959-04;5.4;G
1959-05-01 00:00:01;1959-06-01 00:00:00;1959-05;9.4;G
1959-06-01 00:00:01;1959-07-01 00:00:00;1959-06;14.9;G
1959-07-01 00:00:01;1959-08-01 00:00:00;1959-07;18.6;G
1959-08-01 00:00:01;1959-09-01 00:00:00;1959-08;18.1;G
1959-09-01 00:00:01;1959-10-01 00:00:00;1959-09;11.3;G
1959-10-01 00:00:01;1959-11-01 00:00:00;1959-10;7.8;G
1959-11-01 00:00:01;1959-12-01 00:00:00;1959-11;4.4;G
1959-12-01 00:00:01;1960-01-01 00:00:00;1959-12;0.3;G
1960-01-01 00:00:01;1960-02-01 00:00:00;1960-01;-2.2;G
1960-02-01 00:00:01;1960-03-01 00:00:00;1960-02;-3.5;G
1960-03-01 00:00:01;1960-04-01 00:00:00;1960-03;-0.9;G
1960-04-01 00:00:01;1960-05-01 00:00:00;1960-04;3.8;G
1960-05-01 00:00:01;1960-06-01 00:00:00;1960-05;9.4;G
1960-06-01 00:00:01;1960-07-01 00:00:00;1960-06;15.4;G
1960-07-01 00:00:01;1960-08-01 00:00:00;1960-07;15.7;G
1960-08-01 00:00:01;1960-09-01 00:00:00;1960-08;15.3;G
1960-09-01 00:00:01;1960-10-01 00:00:00;1960-09;11.7;G
1960-10-01 00:00:01;1960-11-01 00:00:00;1960-10;6.4;G
1960-11-01 00:00:01;1960-12-01 00:00:00;1960-11;3.9;G
1960-12-01 00:00:01;1961-01-01 00:00:00;1960-12;2.8;G
1961-01-01 00:00:01;1961-02-01 00:00:00;1961-01;-0.9;Y
1961-02-01 00:00:01;1961-03-01 00:00:00;1961-02;1.7;Y
1961-03-01 00:00:01;1961-04-01 00:00:00;1961-03;3.7;Y
1961-04-01 00:00:01;1961-05-01 00:00:00;1961-04;5.5;Y
1961-05-01 00:00:01;1961-06-01 00:00:00;1961-05;9.5;Y
1961-06-01 00:00:01;1961-07-01 00:00:00;1961-06;15.6;Y
1961-07-01 00:00:01;1961-08-01 00:00:00;1961-07;15.2;Y
1961-08-01 00:00:01;1961-09-01 00:00:00;1961-08;14.6;Y
1961-09-01 00:00:01;1961-10-01 00:00:00;1961-09;12.3;Y
1961-10-01 00:00:01;1961-11-01 00:00:00;1961-10;10.8;Y
1961-11-01 00:00:01;1961-12-01 00:00:00;1961-11;4.0;Y
1961-12-01 00:00:01;1962-01-01 00:00:00;1961-12;-0.6;Y
1962-01-01 00:00:01;1962-02-01 00:00:00;1962-01;0.7;Y
1962-02-01 00:00:01;1962-03-01 00:00:00;1962-02;-0.9;Y
1962-03-01 00:00:01;1962-04-01 00:00:00;1962-03;-3.9;Y
1962-04-01 00:00:01;1962-05-01 00:00:00;1962-04;4.9;Y
1962-05-01 00:00:01;1962-06-01 00:00:00;1962-05;7.9;Y
1962-06-01 00:00:01;1962-07-01 00:00:00;1962-06;12.7;Y
1962-07-01 00:00:01;1962-08-01 00:00:00;1962-07;14.2;Y
1962-08-01 00:00:01;1962-09-01 00:00:00;1962-08;13.8;Y
1962-09-01 00:00:01;1962-10-01 00:00:00;1962-09;10.4;Y
1962-10-01 00:00:01;1962-11-01 00:00:00;1962-10;7.9;Y
1962-11-01 00:00:01;1962-12-01 00:00:00;1962-11;3.1;Y
1962-12-01 00:00:01;1963-01-01 00:00:00;1962-12;-2.3;Y
1963-01-01 00:00:01;1963-02-01 00:00:00;1963-01;-5.7;Y
1963-02-01 00:00:01;1963-03-01 00:00:00;1963-02;-5.9;Y
1963-03-01 00:00:01;1963-04-01 00:00:00;1963-03;-3.6;Y
1963-04-01 00:00:01;1963-05-01 00:00:00;1963-04;3.5;Y
1963-05-01 00:00:01;1963-06-01 00:00:00;1963-05;11.8;Y
1963-06-01 00:00:01;1963-07-01 00:00:00;1963-06;14.6;Y
1963-07-01 00:00:01;1963-08-01 00:00:00;1963-07;16.7;Y
1963-08-01 00:00:01;1963-09-01 00:00:00;1963-08;16.2;Y
1963-09-01 00:00:01;1963-10-01 00:00:00;1963-09;13.0;Y
1963-10-01 00:00:01;1963-11-01 00:00:00;1963-10;7.1;Y
1963-11-01 00:00:01;1963-12-01 00:00:00;1963-11;4.1;Y
1963-12-01 00:00:01;1964-01-01 00:00:00;1963-12;-0.7;Y
1964-01-01 00:00:01;1964-02-01 00:00:00;1964-01;-0.4;Y
1964-02-01 00:00:01;1964-03-01 00:00:00;1964-02;-3.0;Y
1964-03-01 00:00:01;1964-04-01 00:00:00;1964-03;-1.6;Y
1964-10-01 00:00:01;1964-11-01 00:00:00;1964-10;7.1;Y
